universidade,sigla,estado
ACADEMIA DA FORÇA AÉREA,AFA,SP
ACADEMIA DA POLÍCIA CIVIL DO ESTADO DA BAHIA,ACADEPOL,BA
ACADEMIA DE POLÍCIA MILITAR DO BARRO BRANCO,APMBB,SP
ACADEMIA DE POLÍCIA MILITAR DOM JOÃO VI,APMDJVI,RJ
ACADEMIA DE POLÍCIA MILITAR,APM,BA
ACADEMIA MILITAR DE AGULHAS NEGRAS,AMAN,RJ
ANHANGUERA EDUCACIONAL S.A.,UNIANHANGUERA,RS
ANHANGUERA EDUCACIONAL,AESA,SP
ASSOCIAÇÃO CATARINENSE DE ENSINO,ACE,SC
ASSOCIAÇÃO DE ENSINO SUPERIOR DO PIAUÍ,AESPI,PI
ASSOCIAÇÃO SUL MINEIRA DE EDUCAÇÃO E CULTURA,ASMEC,MG
ASSOCIAÇÃO VILHENENSE DE EDUCAÇÃO E CULTURA,AVEC,RO
AVM - FACULDADE INTEGRADA,IAVM,RJ
BUSINESS SCHOOL SÃO PAULO,BSP,SP
CATÓLICA NOSSA SENHORA DAS NEVES,Faculdade,RN
CENTRO DE EDUCAÇÃO DA AMAZÔNIA,CEAMA,PA
CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA,CESB,MG
CENTRO DE EDUCAÇÃO TECNOLÓGICO,CET,PI
CENTRO DE ENSINO SUPERIOR ARCANJO MIKAEL DE ARAPIRACA,CESAMA,AL
CENTRO DE ENSINO SUPERIOR CENECISTA DE FARROUPILHA,CESF,RS
CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,PE
CENTRO DE ENSINO SUPERIOR DE CATALÃO 1,CESUC,GO
CENTRO DE ENSINO SUPERIOR DE CONSELHEIRO LAFAIETE,CES-CL,MG
CENTRO DE ENSINO SUPERIOR DE ITABIRA,CENSI,MG
CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,CES/JF,MG
CENTRO DE ENSINO SUPERIOR DE UBERABA,CESUBE,MG
CENTRO DE ENSINO SUPERIOR DE VITÓRIA,CESV,ES
CENTRO DE ENSINO SUPERIOR DO AMAPÁ,CEAP,AP
CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA,CESVALE,PI
CENTRO DE ENSINO SUPERIOR DO VALE DO SÃO FRANCISCO,CESVASF,PE
CENTRO DE ENSINO SUPERIOR DOS CAMPOS GERAIS,CESCAGE,PR
CENTRO DE ENSINO UNIFICADO DE TERESINA,CEUT,PI
CENTRO DE ESTUDOS SUPERIORES APRENDIZ,CESA,MG
CENTRO DE ESTUDOS SUPERIORES DE MACEIÓ,CESMAC,AL
CENTRO DE INSTRUÇÃO ALMIRANTE BRAZ DE AGUIAR,CIABA,PA
CENTRO DE INSTRUÇÃO ALMIRANTE GRAÇA ARANHA,CIAGA,RJ
CENTRO EDUCACIONAL CONCEIÇÃO NUNES,CECON,MG
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET/RJ,RJ
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFETMG,MG
CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO,CESEP,MG
CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE,CTESOP,PR
CENTRO UNIVERISTÁRIO DA FACULDADE ESTÁCIO DE SÁ DE BELO HORIZONTE,FESBH,MG
CENTRO UNIVERSITÁRIO - CATÓLICA DE SANTA CATARINA EM JARAGUÁ DO SUL,Católica em Jaraguá,SC
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,SP
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,SP
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,SP
CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI,UNIAN,RJ
CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,UNIBERO,SP
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,SP
CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE,FIAETPP,SP
CENTRO UNIVERSITÁRIO ASSUNÇÃO,UNIFAI,SP
CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,RJ
CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,SP
CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,SP
CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE,UNIANDRADE,PR
CENTRO UNIVERSITÁRIO CARIOCA,UNICARIOCA,RJ
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM,UNISALESIANO,SP
CENTRO UNIVERSITÁRIO CELSO LISBOA,UCL,RJ
CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,UNICEP,SP
CENTRO UNIVERSITÁRIO CLARETIANO,CEUCLAR,SP
CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,PR
