ano,universidade,time,regiao
2014,UFG,Remember us!,Centro-Oeste
2014,UFCG,Manoel borboleta e miguxos,Nordeste
2014,CESUPA,Marrapá,Norte
2014,USP,I am root,Sudeste
2014,UFPR,Alwaysgood's team,Sul
2014,UFG,Remember us!,Centro-Oeste
2014,UFCG,Manoel borboleta e miguxos,Nordeste
2014,CESUPA,Marrapá,Norte
2014,USP,I am root,Sudeste
2014,UFPR,Alwaysgood's team,Sul
2014,UFG,Remember us!,Centro-Oeste
2014,UFCG,Manoel borboleta e miguxos,Nordeste
2014,CESUPA,Marrapá,Norte
2014,USP,I am root,Sudeste
2014,UFPR,Alwaysgood's team,Sul
