Users x Problems,A,B,C,D,E,F,G,H,I,J,Total,Accepted
[BR/UNILINS],0,0,0,0,0,1,0,0,0,0,1,1
[BR/UFRJ],1,0,1,3,0,2,4,0,0,0,11,6
[BR/UFPE],1,0,1,1,2,1,2,0,0,1,9,6
[BR/UNITAU],3,0,0,0,0,3,1,0,0,0,7,1
[BR/FATEC-Sorocaba],2,0,2,0,1,3,0,0,0,0,8,2
[BR/IFCE],0,0,0,0,0,6,1,0,0,0,7,1
[BR/UFV],0,2,1,0,0,2,0,0,0,0,5,2
[BR/Unoeste],0,0,0,0,0,7,0,0,0,0,7,1
[BR/USP-Sao,1,0,1,0,0,1,1,0,0,0,4,2
[BR/Unicamp],5,0,1,0,0,1,0,0,0,7,14,4
[UFPI],0,2,0,0,1,3,0,0,0,0,6,1
[BR/FPU],0,0,1,0,0,1,1,0,0,0,3,0
[BR/UFPR],3,0,1,5,0,1,6,0,0,0,16,5
[BR/UFS],1,0,1,0,0,1,0,0,0,0,3,3
[BR/Unis],0,0,1,0,0,15,1,0,0,0,17,1
[BR/UFRGS],1,0,1,0,0,3,4,0,0,0,9,2
[BR/USP],2,2,1,2,2,2,1,1,0,1,14,7
[BR/USP],1,1,1,0,2,1,2,0,0,2,10,5
[BR/UFCG],1,0,1,1,7,1,2,0,0,1,14,5
[BR/UFPA],0,2,0,0,0,2,0,0,0,0,4,1
[BR/UFCG],3,0,1,1,0,1,2,0,0,0,8,4
[BR/UFU],2,2,1,0,0,5,1,0,0,0,11,2
[BR/ITA],1,0,1,0,0,1,2,0,0,4,9,4
[BR/UFSCar],0,2,1,0,0,1,0,0,0,0,4,2
[BR/FATEC-Mogi],0,0,0,0,0,1,1,0,0,0,2,1
[BR/UFES],2,0,1,0,0,2,1,0,0,0,6,2
[BR/Facit],2,0,0,0,0,9,3,0,0,0,14,0
[BR/UNIVASF],1,0,0,0,0,2,1,0,0,0,4,1
[BR/UPF],0,1,0,0,0,2,0,0,0,0,3,1
[BR/UFSC],0,2,0,0,0,2,0,0,0,0,4,1
[BR/UECE],5,2,0,0,0,2,0,0,0,0,9,1
[BR/UFRJ],2,0,1,0,1,2,9,0,2,0,17,4
[BR/UFMT-Araguaia],0,2,0,0,0,3,0,0,0,0,5,1
[BR/Unicamp],2,0,1,1,3,1,3,0,0,5,16,7
[BR/UFMG],1,0,1,0,1,2,10,0,0,0,15,3
[BR/UFMS],0,0,1,0,0,1,0,0,0,0,2,2
[BR/UFRN],1,0,1,0,0,3,0,0,0,0,5,2
[BR/IFTM],0,0,0,0,0,4,1,0,0,0,5,1
[BR/UFG],0,0,1,0,1,2,1,0,0,1,6,5
[BR/UTFPR],0,0,0,0,0,6,0,0,0,0,6,0
[BR/UFPE],1,0,1,2,3,1,1,0,0,1,10,7
[BR/UDESC],0,0,1,0,0,2,6,0,0,0,9,2
[BR/USP-Sao,1,0,1,1,1,3,1,0,2,2,12,8
[BR/UFSCar-Sorocaba],1,0,0,0,0,4,5,2,0,2,14,1
[BR/UNIFEI],6,0,1,0,0,1,1,0,0,0,9,2
[BR/ITA],0,0,1,0,0,1,0,0,3,0,5,2
[BR/PUC,5,1,1,1,0,3,0,1,1,0,13,2
[BR/Fatec,0,0,0,0,0,1,0,0,0,0,1,1
[BR/UFMG],1,0,1,0,0,1,5,0,0,0,8,3
[BR/UVA],1,0,0,0,0,9,0,0,0,0,10,0
[BR/UFPEL],0,0,2,0,0,3,2,0,0,0,7,2
[BR/UNIR],0,0,0,0,1,8,0,0,0,0,9,0
[BR/UFOP],1,0,2,0,0,4,2,0,0,0,9,2
[BR/UFFS],1,2,1,0,0,3,0,0,0,0,7,2
[BR/IME],2,0,1,1,1,2,2,0,0,1,10,6
[BR/UFG],0,0,0,0,0,1,4,0,0,0,5,1
[BR/UEFS],0,0,1,0,0,1,6,0,0,0,8,2
[BR/UFRN],4,0,1,0,0,1,3,1,0,0,10,4
