0,1,2,3,4,5,6,7
Problems x Answers,NO - Compilation error,NO - Presentation error,NO - Runtime error,NO - Time limit exceeded,NO - Wrong answer,YES,Total
A,1 (2%),0,1 (2%),0,5 (8%),58 (89%),65
B,1 (1%),0,0,0,48 (68%),22 (31%),71
C,1 (1%),0,11 (9%),44 (36%),38 (31%),29 (24%),123
D,1 (14%),0,0,0,5 (71%),1 (14%),7
E,0,0,0,7 (33%),6 (29%),8 (38%),21
F,0,0,0,0,4 (67%),2 (33%),6
G,0,0,1 (2%),14 (26%),19 (35%),20 (37%),54
H,0,0,4 (3%),5 (4%),69 (58%),40 (34%),118
I,0,1 (2%),5 (10%),1 (2%),18 (35%),26 (51%),51
J,0,0,0,0,0,2 (100%),2
K,0,0,0,4 (44%),4 (44%),1 (11%),9
