0,1,2,3,4,5,6,7,8
Problems x Answers,NO - Compilation error,NO - Presentation error,NO - Runtime error,NO - Time limit exceeded,NO - Wrong answer,NO - Wrong language choice,YES,Total
A,2 (2%),0,0,0,27 (26%),0,73 (72%),102
B,1 (1%),0,7 (8%),20 (23%),30 (34%),0,30 (34%),88
C,0,0,0,0,1 (20%),0,4 (80%),5
D,0,1 (1%),1 (1%),3 (3%),31 (33%),0,58 (62%),94
F,1 (1%),1 (1%),4 (4%),0,29 (27%),0,72 (67%),107
G,1 (2%),0,1 (2%),17 (26%),38 (58%),1 (2%),7 (11%),65
H,3 (2%),0,9 (6%),34 (24%),72 (52%),0,21 (15%),139
I,0,1 (4%),1 (4%),14 (52%),6 (22%),0,5 (19%),27
J,1 (1%),0,2 (2%),6 (5%),72 (59%),0,41 (34%),122
K,0,0,0,2 (1%),105 (75%),1 (1%),32 (23%),140
