Users x Problems,A,B,C,D,F,G,H,I,J,K,Total,Accepted
[UFAM],1,2,0,0,1,6,5,0,2,3,20,2
[UNIME],8,0,0,1,2,0,0,0,0,0,11,2
[UFBA],1,1,0,1,1,0,2,1,1,1,9,8
[UESB],1,0,0,1,1,1,0,0,2,3,9,3
[IFCE],1,0,0,1,2,0,0,0,0,0,4,3
[UECE],1,0,0,1,1,1,3,0,2,3,12,4
[UnB/FGA],1,1,0,1,2,0,3,0,1,2,11,6
[UnB],1,5,1,2,1,0,2,0,1,3,16,8
[Ceunes-UFES],2,0,0,1,2,1,8,0,1,1,16,3
[UFG],2,1,0,1,2,1,2,0,2,2,13,7
[UFMA],2,3,0,0,1,1,0,0,0,0,7,2
[UFMG],2,6,0,1,1,0,5,0,4,3,22,10
[CEFET-MG],1,0,0,2,2,1,0,0,3,2,11,3
[Pitágoras],2,0,0,2,1,3,3,0,0,0,11,3
[DPI-UFV],2,1,0,2,3,0,4,0,2,1,15,6
[IFTM-Patrocínio],2,1,0,0,2,0,4,0,2,1,12,2
[UFU],1,0,0,1,1,0,0,0,1,3,7,4
[UFU-Monte,1,0,0,0,4,0,0,0,1,6,12,3
[UNIFEI],1,1,0,1,1,14,1,2,2,1,24,8
[IFSULMG-Muzambinho],2,0,0,2,1,0,0,0,1,2,8,3
[INATEL],1,0,0,2,1,0,4,0,1,1,10,5
[FAI],1,0,0,0,1,0,0,0,0,1,3,2
[FACOM-UFMS],2,1,0,1,1,0,5,0,3,1,14,3
[UFCG],1,2,0,2,1,2,3,3,2,2,18,8
[UFPE],1,2,1,1,2,1,1,2,2,1,14,9
[UFPE],1,1,1,1,1,3,3,0,1,3,15,8
[IFPB-JP],1,0,0,1,1,0,0,0,1,1,5,3
[UFPI],1,0,0,1,1,1,1,0,6,0,11,5
[UNIOESTE],1,1,0,1,2,3,3,0,1,1,13,5
[UTFPR-PG],1,0,0,1,1,0,1,0,2,6,12,4
[UFPR],2,0,0,1,1,0,0,0,1,6,11,4
[PUC-Rio],1,1,0,0,2,0,3,0,1,3,11,2
[UFRJ],1,5,0,1,2,1,1,0,1,1,13,7
[IME],1,6,0,1,1,0,4,0,1,5,19,9
[UERJ],1,0,0,1,2,1,2,0,1,3,11,3
[UFRN],1,1,0,1,1,0,1,4,2,4,15,7
[UFRN],2,2,0,1,2,0,4,0,1,7,19,6
[URI-Erechim],1,1,0,6,1,0,1,0,1,1,12,6
[UFFS],2,0,0,1,3,0,4,0,2,0,12,3
[UNIJUI-Santa,1,4,0,0,4,0,2,0,2,2,15,3
[UFRGS],1,0,0,0,1,0,2,0,0,1,5,2
[UFPel],1,0,0,1,1,0,0,0,0,1,4,3
[UDESC],1,0,0,1,1,0,3,0,1,0,7,3
[UFS],2,1,0,0,2,0,0,0,0,0,5,2
[UNOESTE],1,0,0,1,1,0,0,0,1,2,6,3
[UNICAMP],1,1,0,1,1,1,2,2,1,3,13,9
[UNESP-Bauru],5,0,0,0,1,5,0,0,1,4,16,2
[USP-São,1,5,0,1,1,0,2,0,1,4,15,5
[UFSCar],1,0,0,1,2,0,2,0,2,4,12,4
[USP-São,1,0,0,1,1,0,4,0,1,1,9,5
[FEI],1,6,0,1,2,0,0,0,2,0,12,4
[FATEC-São,1,2,0,1,3,0,1,0,2,1,11,5
[USP],1,1,0,1,1,2,0,4,1,1,12,6
[USJT],2,0,0,0,1,0,3,0,1,0,7,2
[UNITAU],1,0,0,1,1,0,3,0,6,10,22,4
[ITA],1,3,0,1,1,0,2,0,3,3,14,6
[UFSCar-Sorocaba],1,0,0,3,1,0,0,0,2,1,8,5
[UFT],1,0,0,3,2,0,8,0,1,4,19,4
[CCL],1,1,0,1,1,0,0,0,2,2,8,5
[CCL],1,0,0,1,1,0,0,0,3,1,7,3
[CCL],1,1,0,1,4,4,1,0,1,1,14,8
[CCL],1,0,0,1,1,0,3,0,1,1,8,6
[CCL],4,5,0,1,1,0,1,0,0,3,15,3
[CCL],2,0,0,15,3,0,0,0,8,0,28,2
[CCL],1,2,1,1,1,6,1,2,2,1,18,9
[CCL],2,1,1,1,1,1,2,1,2,1,13,11
[CCL],1,1,0,1,1,2,1,0,1,1,9,8
[CCL],1,2,0,1,1,0,1,6,1,1,14,7
[CCL],1,6,0,1,1,0,1,0,11,1,22,3
[CCL],1,0,0,1,2,0,0,0,3,0,7,4
[CCL],1,0,0,1,1,0,10,0,1,0,14,3
[CCL],1,1,0,4,1,3,1,0,0,1,12,5
