0,1,2,3,4,5,6,7,8,9
Problems x Answers,NO - Class name mismatch,NO - Compilation error,NO - Output format error,NO - Runtime error,NO - Time limit exceeded,NO - Wrong Language Choice,NO - Wrong answer,YES,Total
A,0,0,0,0,2 (67%),0,0,1 (33%),3
B,0,1 (2%),0,0,5 (12%),0,19 (46%),16 (39%),41
C,0,1 (1%),1 (1%),8 (5%),3 (2%),0,93 (56%),60 (36%),166
D,0,0,0,3 (12%),4 (16%),1 (4%),12 (48%),5 (20%),25
E,1 (1%),0,2 (3%),0,7 (10%),1 (1%),34 (49%),25 (36%),70
F,0,1 (1%),0,5 (5%),7 (7%),0,61 (62%),24 (24%),98
G,0,0,0,0,0,0,15 (52%),14 (48%),29
H,0,0,0,3 (4%),0,0,1 (1%),72 (95%),76
I,0,3 (3%),0,8 (8%),26 (26%),0,33 (33%),30 (30%),100
J,0,0,0,0,16 (23%),0,32 (45%),23 (32%),71
K,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,1 (50%),1 (50%),2
M,0,0,0,2 (6%),7 (20%),0,15 (43%),11 (31%),35
