ano,time,competidor,reserva,classificado,posicao,medalha,universidade,estado,regiao
2016,0xe,lucas almeida pereira de lima,0,1,1,gold,UFPE,PE,Nordeste
2016,0xe,duhan caraciolo,0,1,1,gold,UFPE,PE,Nordeste
2016,0xe,mario henrique da silva,0,1,1,gold,UFPE,PE,Nordeste
2016,veni vidi codi,guilherme bueno andrade,0,1,2,gold,UNICAMP,SP,Sudeste
2016,veni vidi codi,matheus de souza ataide,0,1,2,gold,UNICAMP,SP,Sudeste
2016,veni vidi codi,arthur pratti dadalto,0,1,2,gold,UNICAMP,SP,Sudeste
2016,roberio e seu teclado,guilherme bernal,0,1,3,gold,UFBA,BA,Nordeste
2016,roberio e seu teclado,roberto caldeira,0,1,3,gold,UFBA,BA,Nordeste
2016,roberio e seu teclado,jonathan queiroz,0,1,3,gold,UFBA,BA,Nordeste
2016,wickaninnish,orlando aceto,0,0,4,silver,UFPE,PE,Nordeste
2016,wickaninnish,vitor castelo branco,0,0,4,silver,UFPE,PE,Nordeste
2016,wickaninnish,victor duarte diniz monteiro,0,0,4,silver,UFPE,PE,Nordeste
2016,epic sax guys,josé wagner de andrade junior,0,1,5,silver,UNIFEI,MG,Centro-Oeste
2016,epic sax guys,fúlvio abrahão de paula,0,1,5,silver,UNIFEI,MG,Centro-Oeste
2016,epic sax guys,thiago carvalho pinto,0,1,5,silver,UNIFEI,MG,Centro-Oeste
2016,!xor&!,ordan silva santos,0,1,6,silver,UFCG,PB,Nordeste
2016,!xor&!,lucas de matos figueiredo,0,1,6,silver,UFCG,PB,Nordeste
2016,!xor&!,victor andrade de almeida,0,1,6,silver,UFCG,PB,Nordeste
2016,ginga com tapioca,railton calheiros,0,1,7,bronze,UFRN,RN,Nordeste
2016,ginga com tapioca,hélio filho,0,1,7,bronze,UFRN,RN,Nordeste
2016,ginga com tapioca,victor lima,0,1,7,bronze,UFRN,RN,Nordeste
2016,esse é meu time,igor figueiredo,0,0,8,bronze,UFRJ,RJ,Sudeste
2016,esse é meu time,tiago montalvão,0,0,8,bronze,UFRJ,RJ,Sudeste
2016,esse é meu time,ian miranda,0,0,8,bronze,UFRJ,RJ,Sudeste
2016,where are the monkeys,paulo augusto gomes kataki,0,0,9,bronze,UFG,GO,Centro-Oeste
2016,where are the monkeys,rafael de assis cruz,0,0,9,bronze,UFG,GO,Centro-Oeste
2016,where are the monkeys,murilo gonçalves pereira,0,0,9,bronze,UFG,GO,Centro-Oeste
2016,lorem ipsum,athos cotta couto,0,0,10,bronze,IME,RJ,Sudeste
2016,lorem ipsum,naum azeredo fernandes barreira,0,0,10,bronze,IME,RJ,Sudeste
2016,lorem ipsum,matheus cariús castro,0,0,10,bronze,IME,RJ,Sudeste
2007,o que é overflow?,anderson aiziro,0,0,1,gold,ITA,SP,Sudeste
2007,o que é overflow?,felipe souza,0,0,1,gold,ITA,SP,Sudeste
2007,o que é overflow?,rafael daigo hirama,0,0,1,gold,ITA,SP,Sudeste
2007,o que é overflow?,,0,0,1,gold,ITA,SP,Sudeste
2007,who wants to code forever,leonardo facci,0,0,2,gold,IME-USP,SP,Sudeste
2007,who wants to code forever,guilherme silveira,0,0,2,gold,IME-USP,SP,Sudeste
2007,who wants to code forever,cristiane sato,0,0,2,gold,IME-USP,SP,Sudeste
2007,who wants to code forever,,0,0,2,gold,IME-USP,SP,Sudeste
2007,atlântico,rafael paulino,0,0,3,gold,IME,RJ,Sudeste
2007,atlântico,renato paes leme,0,0,3,gold,IME,RJ,Sudeste
2007,atlântico,thiago pereira,0,0,3,gold,IME,RJ,Sudeste
2007,atlântico,,0,0,3,gold,IME,RJ,Sudeste
2007,gap,andré rodrigues,0,0,4,silver,UNICAMP,SP,Sudeste
2007,gap,guilherme kunigami,0,0,4,silver,UNICAMP,SP,Sudeste
2007,gap,paulo roberto costa,0,0,4,silver,UNICAMP,SP,Sudeste
2007,gap,,0,0,4,silver,UNICAMP,SP,Sudeste
2007,nop,andré souza,0,0,5,silver,UFRJ,RJ,Sudeste
2007,nop,bruno leite,0,0,5,silver,UFRJ,RJ,Sudeste
2007,nop,vinicius santos,0,0,5,silver,UFRJ,RJ,Sudeste
2007,nop,,0,0,5,silver,UFRJ,RJ,Sudeste
2007,"cnuth, dijkstra & edmonds",caio valentim,0,0,6,silver,PUC-RIO,RJ,Sudeste
2007,"cnuth, dijkstra & edmonds",daniel rocha,0,0,6,silver,PUC-RIO,RJ,Sudeste
2007,"cnuth, dijkstra & edmonds",eduardo cardoso,0,0,6,silver,PUC-RIO,RJ,Sudeste
2007,"cnuth, dijkstra & edmonds",,0,0,6,silver,PUC-RIO,RJ,Sudeste
2007,triforce,bruno ribas,0,0,7,bronze,UFPR,PR,Sul
2007,triforce,eduardo ribas,0,0,7,bronze,UFPR,PR,Sul
2007,triforce,raphael ribas,0,0,7,bronze,UFPR,PR,Sul
2007,triforce,,0,0,7,bronze,UFPR,PR,Sul
2007,die aphthe schmerzen,rafael carmo,0,0,8,bronze,UECE,CE,Nordeste
2007,die aphthe schmerzen,rudy matela,0,0,8,bronze,UECE,CE,Nordeste
2007,die aphthe schmerzen,teófilo bezerra,0,0,8,bronze,UECE,CE,Nordeste
2007,die aphthe schmerzen,,0,0,8,bronze,UECE,CE,Nordeste
2007,np-rosa-choque,igor assis,0,0,9,bronze,UNICAMP,SP,Sudeste
2007,np-rosa-choque,felipe sodré dos santos silva,0,0,9,bronze,UNICAMP,SP,Sudeste
2007,np-rosa-choque,thiago serra silva,0,0,9,bronze,UNICAMP,SP,Sudeste
2007,np-rosa-choque,,0,0,9,bronze,UNICAMP,SP,Sudeste
2007,anuncie aqui,mauricio collares neto,0,0,10,bronze,UFS,SE,Nordeste
2007,anuncie aqui,ramon fernandes,0,0,10,bronze,UFS,SE,Nordeste
2007,anuncie aqui,thadeu henrique meneses,0,0,10,bronze,UFS,SE,Nordeste
2007,anuncie aqui,,0,0,10,bronze,UFS,SE,Nordeste
2017,"¯\_( ""/ )_/¯",yan couto,0,1,1,gold,USP-SP,SP,Sudeste
2017,"¯\_( ""/ )_/¯",victor sena moleiro,0,1,1,gold,USP-SP,SP,Sudeste
2017,"¯\_( ""/ )_/¯",arthur nascimento,0,1,1,gold,USP-SP,SP,Sudeste
2017,"¯\_( ""/ )_/¯",pelos,0,1,1,gold,USP-SP,SP,Sudeste
2017,trei linha,samuel santos,0,1,2,gold,USP-SC,SP,Sudeste
2017,trei linha,rodrigo weigert,0,1,2,gold,USP-SC,SP,Sudeste
2017,trei linha,lucas de oliveira pacheco,0,1,2,gold,USP-SC,SP,Sudeste
2017,alt,arthur costa,0,1,3,gold,UFPE,PE,Nordeste
2017,alt,tiago gonçalves,0,1,3,gold,UFPE,PE,Nordeste
2017,alt,lucas santana,0,1,3,gold,UFPE,PE,Nordeste
2017,dog hits dog,gabriel oliveira,0,0,4,silver,USP-SP,SP,Sudeste
2017,dog hits dog,nathan benedetto proença,0,0,4,silver,USP-SP,SP,Sudeste
2017,dog hits dog,pedro sousa,0,0,4,silver,USP-SP,SP,Sudeste
2017,choose difficulty: titan,felipe mota dos santos,0,1,5,silver,UFCG,PB,Nordeste
2017,choose difficulty: titan,árysson figueiredo,0,1,5,silver,UFCG,PB,Nordeste
2017,choose difficulty: titan,ordan silva santos,0,1,5,silver,UFCG,PB,Nordeste
2017,choose difficulty: titan,paulo silva ,1,1,5,silver,UFCG,PB,Nordeste
2017,ginga com tapioca,railton calheiros,0,1,6,silver,UFRN,RN,Nordeste
2017,ginga com tapioca,hélio duarte,0,1,6,silver,UFRN,RN,Nordeste
2017,ginga com tapioca,victor lima,0,1,6,silver,UFRN,RN,Nordeste
2017,ginga com tapioca,paulo augusto de lima medeiros ,1,1,6,silver,UFRN,RN,Nordeste
2017,se juntas causa imagina juntas,gustavo bezerra ribeiro,0,0,7,bronze,UFCG,PB,Nordeste
2017,se juntas causa imagina juntas,emerson leonardo lucena,0,0,7,bronze,UFCG,PB,Nordeste
2017,se juntas causa imagina juntas,arthur vinicius tomé rodrigues,0,0,7,bronze,UFCG,PB,Nordeste
2017,se juntas causa imagina juntas,rodrigo farias de macedo ,1,0,7,bronze,UFCG,PB,Nordeste
2017,esse é meu time,igor figueiredo,0,1,8,bronze,UFRJ,RJ,Sudeste
2017,esse é meu time,tiago montalvão,0,1,8,bronze,UFRJ,RJ,Sudeste
2017,esse é meu time,ian miranda,0,1,8,bronze,UFRJ,RJ,Sudeste
2017,lorem ipsum,athos cotta couto,0,1,9,bronze,IME,RJ,Sudeste
