#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin
1,1,Guilherme Albuquerque,-247,A,C,guilherme.c,judged,claudio (1),YES,1
2,1,Guilherme Albuquerque,-247,A,Java,A.java,judged,renato (1),YES,1
3,1,Guilherme Albuquerque,-246,A,C++11,pablo.cpp,judged,renato (1),YES,1
4,1,Guilherme Albuquerque,-246,A,C++11,brute.cpp,judged,renato (1),NO - Time limit exceeded,0
5,1,Guilherme Albuquerque,-246,B,C,guilherme-dfs.c,judged,renato (1),YES,1
6,1,Guilherme Albuquerque,-246,B,C++11,fidel.cpp,judged,renato (1),YES,1
7,1,Guilherme Albuquerque,-245,B,Java,guilherme_java.java,judged,renato (1),NO - Filename Mismatch,0
8,1,Vinicius Santos,-245,K,C,guilherme.c,judged,renato (1),YES,1
9,1,Guilherme Albuquerque,-245,B,C,guilherme-slow-1.c,judged,renato (1),NO - Time limit exceeded,0
10,1,Guilherme Albuquerque,-244,B,Java,B.java,judged,vinicius (1),YES,1
11,1,Guilherme Albuquerque,-243,C,C++11,bruno.cpp,judged,renato (1),YES,1
12,1,Guilherme Albuquerque,-243,C,Java,C.java,judged,vinicius (1),YES,1
13,1,Guilherme Albuquerque,-243,C,Java,C.java,judged,renato (1),NO - Time limit exceeded,0
14,1,Guilherme Albuquerque,-242,C,C,guilherme-n2.c,judged,renato (1),NO - Time limit exceeded,0
15,1,Guilherme Albuquerque,-242,C,C++11,fidel.cpp,judged,claudio (1),YES,1
16,1,Guilherme Albuquerque,-241,D,C,guilherme.c,judged,vinicius (1),YES,1
17,1,Guilherme Albuquerque,-241,D,C++11,fidel.cpp,judged,vinicius (1),YES,1
18,1,Guilherme Albuquerque,-241,D,Java,D.java,judged,claudio (1),YES,1
19,1,Guilherme Albuquerque,-241,D,C,guilherme-wrong-3.c,judged,claudio (1),NO - Wrong answer,0
20,1,Guilherme Albuquerque,-240,E,C++11,walter.cpp,judged,claudio (1),YES,1
