0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,User,Name,A,B,C,D,E,F,G,H,I,J,K,Total
1,team27/1,UFPE - Challenge Accepted !,1/22,1/97,,,12/299,,1/172,2/137,1/42,1/111,1/60,8 (1180)
2,team23/1,ITA - Comp-Ele Error,1/47,2/128,,,5/-,,1/228,1/69,1/35,1/96,1/11,7 (634)
3,team22/1,UFCG - Modus Ponens Malditos,1/58,1/143,,,,,3/296,1/101,1/50,2/164,1/65,7 (937)
4,team40/1,UFPR - * da Trypanossoma,1/25,2/175,,,,,1/-,1/95,1/36,1/157,1/23,6 (531)
5,team17/1,UFRJ - double cheeseburger;,1/40,1/77,,,,,,5/239,1/15,1/138,1/32,6 (621)
6,team48/1,ITA - InkognITA,1/52,1/150,,,,,,4/265,1/44,1/196,2/32,6 (819)
7,team51/1,"UFPE - Fulano, Beltrano e Sicrano",1/56,2/201,,,,,,3/208,1/25,1/270,2/65,6 (905)
8,team50/1,IME-USP - Up,1/19,6/-,,,,,,1/135,1/31,1/95,1/66,5 (346)
9,team12/1,UFRGS - GCV,1/58,2/-,,,,,,1/124,1/41,2/192,1/18,5 (453)
10,team29/1,Unicamp - Unicamp Alfa,1/46,1/217,,,,,,9/-,1/34,1/136,2/28,5 (481)
11,team37/1,UFG - Monkeys,1/56,,,,,,,3/209,1/24,1/-,1/45,4 (374)
12,team3/1,IME-USP - ASA,2/175,,,,,,,1/186,1/62,1/-,1/32,4 (475)
13,team47/1,UECE - Colecionadores de Baloes,2/82,,,,,,,3/234,2/69,2/-,1/47,4 (512)
14,team20/1,UFMG - FD*,3/145,,,,,,,,1/115,1/273,1/36,4 (609)
15,team31/1,PUC-Rio - Pedrinhos e Luizinha + Samba,1/187,,,,,,,1/261,1/123,4/-,2/55,4 (646)
16,team5/1,UFSCar-Sorocaba - Platypus,1/35,,,,,,,3/-,1/70,2/-,1/19,3 (124)
17,team30/1,UERJ - O Grande Espaco em Branco,2/61,1/-,,,,,,,1/30,3/-,1/16,3 (127)
18,team38/1,UFU - Renegadores,2/27,,,,,,,7/-,2/59,3/-,1/68,3 (194)
19,team8/1,ICMC-USP - Dona Margarida,3/74,1/-,,,,,,3/-,1/51,,1/32,3 (197)
20,team4/1,UFAC - Androidos,1/32,,,,,,,5/-,1/103,3/-,1/71,3 (206)
21,team25/1,URI-Erechim - Fuzzy,1/79,,,,,,,6/-,2/43,2/-,1/64,3 (206)
22,team7/1,UNIVALI - Os desenvolvedores de jogos,1/45,,,,,,,3/-,1/103,,1/69,3 (217)
23,team15/1,UFES - ETROPUS,1/117,,,,,,,4/-,1/78,3/-,1/88,3 (283)
24,team44/1,UNESP - Chikorita Flamejante,1/127,,,,,,,4/-,1/77,2/-,1/89,3 (293)
25,team24/1,UFS - Suit up!,1/90,4/-,,,,,,1/-,2/138,3/-,1/46,3 (294)
26,team19/1,UNIFACS - Interpolation,1/24,,,,,,,5/-,3/148,,2/66,3 (298)
27,team33/1,UNIS-BCC-A,1/27,,,,,,,7/-,2/122,3/-,3/98,3 (307)
28,team35/1,IESAM - IESAM 1,1/126,,,1/-,,,,3/-,1/77,,2/110,3 (333)
29,team6/1,UFSCar - Ponteiros Reversos,2/120,1/-,,,,,,1/-,2/84,3/-,1/92,3 (336)
30,team41/1,UNILINS - Gomu Gomu no fuusen,1/107,,,,,,,,3/51,3/-,2/120,3 (338)
31,team39/1,PRG-USP - CM undeclared,3/110,,,,,,,,1/41,2/-,1/187,3 (378)
32,team21/1,UEFS - Dividir na Forca Bruta,2/68,,,,,,,,1/117,,3/191,3 (436)
33,team10/1,UNIFEI - Baloes++ (O ORIGINAL),5/235,,,,,,,,1/84,,1/43,3 (442)
34,team36/1,UFMS - BigField,3/131,,,,,,,3/-,1/171,,1/112,3 (454)
35,team11/1,EACH-USP - USP Lost,3/73,,,,,1/-,,2/-,2/145,,1/190,3 (468)
36,team13/1,UNIVASF - Piratas do Vale do Sao Francisco,1/27,,,,,,,3/-,3/129,,2/287,3 (503)
37,team46/1,UESC - wisag,3/148,,,,,,,,1/191,,1/132,3 (511)
38,team9/1,UNIOESTE - Yes! We Found,3/55,,,,,,,2/-,3/132,4/-,2/258,3 (545)
39,team34/1,UNIR - Nunca Sera,1/188,,,,,,,,3/102,,4/204,3 (594)
40,team43/1,UFSM - Challand Accepted,1/285,,,,,,,,1/67,,4/215,3 (627)
41,team2/1,UFAM - BAZZINGA!,4/256,,,,,,,3/-,4/176,,1/107,3 (659)
42,team14/1,UFV - Tree Sons Of A Bit,7/212,,,2/-,,,,,3/288,,1/29,3 (689)
43,team32/1,UFMG - Starters Edition,2/63,4/-,,,,,,,8/281,,3/213,3 (757)
44,team16/1,UNIMONTES - E.Q.U.I.P.E.,1/21,,,,,,,,3/-,,1/62,2 (83)
45,team45/1,Unifesp - Java Lee,1/-,,,,,,,,1/49,,3/71,2 (160)
46,team1/1,UFMA - MaWeRi,3/-,,,,,,,,1/90,,1/123,2 (213)
47,team26/1,UFSC - ineficiente,3/-,,,,,,,1/-,3/127,4/-,1/53,2 (220)
48,team49/1,FEI - Equipe Newton,2/-,,,1/-,,,,,1/178,,2/247,2 (445)
49,team42/1,UESPI - uespi40,1/-,,,,,,,,3/-,,1/198,1 (198)
