0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,User,Name,A,B,C,D,E,F,G,H,I,J,Total
1,team25/1,"[ITA] jQuery bool, jQuery char!",3/216,,1/45,1/11,1/97,1/160,1/178,1/15,1/26,1/123,9 (911)
2,team24/1,[UNICAMP] Os Cartolas,1/-,,1/68,1/6,1/276,1/251,5/124,1/14,1/27,3/179,8 (1065)
3,team30/1,[UFPE] 4 Fun 2 Win,,,1/54,1/7,1/126,1/242,,1/25,1/28,3/192,7 (714)
4,team31/1,[ICMC-USP] Señora Margarida,,,1/60,1/4,4/161,,3/283,1/41,2/48,,6 (717)
5,team34/1,[ITA] MargarITA,,,1/53,1/15,12/298,,,1/11,1/30,1/120,6 (747)
6,team33/1,[UFPE] Coração das Cartas,1/-,,1/82,1/11,10/-,,2/131,1/21,1/60,5/-,5 (325)
7,team13/1,[POLI-USP] Vruum,,,1/111,1/16,2/-,,,1/26,1/68,2/207,5 (448)
8,team14/1,[UFMG] UFMG In rand() we trust!,14/-,,1/87,1/12,,,,1/21,1/52,2/257,5 (449)
9,team37/1,[UTFPR] sudo make a sandwich,,,1/64,1/8,,2/298,,1/17,2/100,,5 (527)
10,team9/1,[DCC-UFRJ] using namespace none;,6/278,,1/82,1/10,8/-,,,1/19,1/54,4/-,5 (543)
11,team12/1,[UFPR] Berro Trypanossomático,,,3/107,1/21,,,8/157,1/15,3/41,,5 (561)
12,team32/1,[UFRGS] Knights of The Round Robin,,,1/74,1/11,,,,1/19,2/95,5/295,5 (594)
13,team28/1,[UFG] Monkeys,,,1/67,1/11,4/-,,,1/17,1/31,1/-,4 (126)
14,team11/1,[UFRN] Absurdo Clássico - Agora Vai!,3/-,,1/100,1/9,,,,1/13,1/49,1/-,4 (171)
15,team23/1,[ICMC-USP] I Can Haz Balloonz,,,1/106,1/5,10/-,,,1/33,1/27,,4 (171)
16,team15/1,[UNICAMP] PhD na área;,,,1/92,1/7,7/-,,5/-,2/33,1/47,3/-,4 (199)
17,team47/1,[UFCG] #include <RijeéL>,,,1/114,1/8,,,,1/23,1/66,,4 (211)
18,team26/1,[IME-RJ] Timelhosa,1/-,,1/90,1/12,,,2/-,2/26,1/124,,4 (272)
19,team27/1,[UFMG] UFMG Starters Edition,8/-,,1/182,1/12,,,,1/26,1/73,1/-,4 (293)
20,team4/1,[IME-USP] ASA,,,3/199,1/8,1/-,,,1/21,1/51,4/-,4 (319)
21,team46/1,[IFSC-USP] IFSC - Schrödingers Katze,,,1/117,1/11,,,9/-,1/6,2/169,,4 (323)
22,team44/1,[UERJ] MOJUCA,,,6/154,1/7,1/-,,,1/16,1/56,1/-,4 (333)
23,team3/1,[FACOMUFU] Chinelada na Orelha,,,1/275,1/24,,,,1/13,1/53,,4 (365)
24,team43/1,[UECE] Colecionadores de Balões,1/-,,1/153,1/13,,,,1/26,1/264,2/-,4 (456)
25,team8/1,[UDESC] Spanish Inquisition,,,2/166,1/23,,,,1/11,2/271,,4 (511)
26,team42/1,[UNIFEI] while (c==8),,,1/243,1/14,,,,2/29,3/166,4/-,4 (512)
27,team49/1,[UFS] Y U no accept?,,,2/-,1/15,6/274,,,4/82,1/47,,4 (578)
28,team29/1,[UFV] Time do Feipa,6/-,,1/269,1/8,,,,1/24,3/282,,4 (623)
29,team41/1,[PUC-RJ] Stalingrafo,,,,1/15,6/-,,,1/24,1/80,,3 (119)
30,team39/1,[UFES] ETROPUS,,,1/152,1/11,,,,1/26,4/-,3/-,3 (189)
31,team17/1,[UFSC] Gargamels Team,,,1/173,1/14,,2/-,,1/22,1/-,,3 (209)
32,team36/1,[UNISUL] Go Horse,,,1/225,1/31,,,,1/32,8/-,,3 (288)
33,team21/1,[UFSCar] PonteirosReversos,,,,1/11,,,,1/31,3/-,,2 (42)
34,team1/1,[FATEC-Mogi] Já Chegou o Disco Voador,,,,1/15,,,,1/28,22/-,,2 (43)
35,team48/1,[FATEC-AM] a; DROP TABLEuser; --,,,,1/21,,,,1/26,7/-,2/-,2 (47)
36,team40/1,[URI] PontoCPP,,,,1/29,,,,1/19,3/-,3/-,2 (48)
37,team50/1,[UNOESTE] Unoeste WJR,,,,1/30,,,,1/19,6/-,,2 (49)
38,team10/1,[UNIARARAS] Grupo Gama,,,,1/21,,,,1/38,14/-,,2 (59)
39,team22/1,[UFMS] Largest Living Rodent,,,,1/40,,,6/-,1/21,7/-,3/-,2 (61)
40,team19/1,[UNIVASF] PiratasDoValeDoSãoFrancisco,,,,1/27,,,,1/35,5/-,,2 (62)
41,team45/1,[UNIR] TBK,,,,1/29,,,,1/40,3/-,,2 (69)
42,team16/1,[UNILINS] Programação Orientada a Balões,,,4/-,2/34,,,,1/34,1/-,,2 (88)
43,team38/1,[UEFS] Untitled.c,,,,3/75,,,,1/20,4/-,,2 (135)
44,team6/1,[UFPI] Dont Care,,,,1/43,,,,1/99,4/-,,2 (142)
45,team5/1,[FATEC-SJC] DEBUG,,,,1/147,,,,1/24,4/-,,2 (171)
46,team20/1,[UFSM] char *alho;,,,,3/52,,,,2/60,3/-,1/-,2 (172)
47,team2/1,[UNIMONTES] Thundercats,,,9/-,2/74,,,,1/78,1/-,,2 (172)
48,team35/1,"[UFAM] ICompUFAM-""Computa agora""",,,,2/68,,,,1/101,4/-,,2 (189)
49,team7/1,[UNIOESTE-Cascavel] Não Entre em Pânico,,,,2/174,,,,1/21,9/-,,2 (215)
