#,User,Name,A,B,C,D,E,F,G,H,I,J,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,Total_Qst,Total_Pen
1,team38,ITA - O que é Overflow?,1/266,,2/47,8/288,1/166,2/131,1/85,1/9,1/136,,8 (1308),266,,47,288,166,131,85,9,136,8,1308
2,team49,IME-USP Who wants to code forever?,,,1/93,2/245,1/216,1/186,1/53,1/18,5/177,3/-,7 (1088),,,93,245,216,186,53,18,177,7,1088
3,team1,IME-Atlântico,,,2/74,,2/-,3/242,2/224,1/13,2/178,,5 (831),,,74,,,242,224,13,178,5,831
4,team25,Unicamp GAP,,,3/232,1/-,5/-,3/235,1/74,3/43,4/196,,5 (960),,,232,,,235,74,43,196,5,960
5,team33,DCC-UFRJ NOP,,,6/185,,,2/257,2/208,3/38,2/283,,5 (1171),,,185,,,257,208,38,283,5,1171
6,team42,"PUC Rio Cnuth, Dijkstra & Edmonds",,,2/117,,,7/-,1/87,1/19,1/266,,4 (509),,,117,,,,87,19,266,4,509
7,team47,UFPR Triforce,,,4/152,4/-,8/-,1/167,2/112,1/19,3/-,,4 (530),,,152,,,167,112,19,,4,530
8,team20,UECE - Die aphthe schmerzen,,,1/102,,,3/-,3/163,1/22,2/227,,4 (574),,,102,,,,163,22,227,4,574
9,team34,Unicamp NP-Rosa-Choque,,,6/163,,3/-,,3/119,1/14,2/264,,4 (720),,,163,,,,119,14,264,4,720
10,team10,UFS Anuncie Aqui,,,1/127,,,2/-,3/157,1/28,8/230,,4 (722),,,127,,,,157,28,230,4,722
11,team14,"UECE - Camila, Tainara, Leonilia",,,1/130,,,3/-,3/155,1/30,9/298,,4 (813),,,130,,,,155,30,298,4,813
12,team36,IME-USP O fim dos pesquisadores,,,1/136,2/-,,7/-,1/77,1/21,2/-,,3 (234),,,136,,,,77,21,,3,234
13,team48,UFRGS Veni Vidi Duci,,,2/78,,1/-,,2/142,1/14,3/-,,3 (274),,,78,,,,142,14,,3,274
14,team35,UFES NULL,,,2/80,,,,2/136,1/24,3/-,,3 (280),,,80,,,,136,24,,3,280
15,team51,DCC-UFRJ YEP,,,2/151,2/-,,,1/141,1/25,2/-,,3 (337),,,151,,,,141,25,,3,337
16,team12,UFC - AVL Team,,,2/231,,,,1/91,1/22,,,3 (364),,,231,,,,91,22,,3,364
17,team37,FURG OMEGA,,,3/145,,,4/-,1/168,1/21,,,3 (374),,,145,,,,168,21,,3,374
18,team3,UDESC 03 - KCT,,,1/80,,,3/-,6/215,1/36,,,3 (431),,,80,,,,215,36,,3,431
19,team11,IBILCE/UNESP Até o fim,,,4/279,,,1/91,4/-,1/35,,,3 (465),,,279,,,91,,35,,3,465
20,team22,IME-Ártico,,,1/262,1/-,,,,1/17,1/194,,3 (473),,,262,,,,,17,194,3,473
21,team18,UFMA debug is on the table,,,2/241,1/-,,,1/-,3/73,1/154,,3 (528),,,241,,,,,73,154,3,528
22,team8,ICMC-USP Animaniacs,,,1/220,,,,3/244,1/26,,,3 (530),,,220,,,,244,26,,3,530
23,team30,UFRN JumenTeam,,,2/229,,,,3/261,1/27,,,3 (577),,,229,,,,261,27,,3,577
24,team16,UERJ - Coders,4/-,,2/233,1/-,,,3/269,2/46,,,3 (628),,,233,,,,269,46,,3,628
25,team13,ITA - Baiamahrim,,,9/292,,,10/-,2/206,1/17,10/-,,3 (695),,,292,,,,206,17,,3,695
26,team50,UFMS Xiforímpula,,,7/241,1/-,,,6/258,1/39,,,3 (758),,,241,,,,258,39,,3,758
27,team28,ICMC-USP IfThenElse,,,1/85,1/-,,,1/-,1/17,3/-,,2 (102),,,85,,,,,17,,2,102
28,team41,UNIFEI Plante queijo na monarquia,,,1/107,3/-,1/-,,1/-,1/41,,,2 (148),,,107,,,,,41,,2,148
29,team2,UFSCoders,,,1/-,1/-,2/-,3/102,5/-,1/17,,,2 (159),,,,,,102,,17,,2,159
30,team17,UnB Crazy Programming Turkeys,,,2/-,2/-,,,1/151,1/22,2/-,,2 (173),,,,,,,151,22,,2,173
31,team43,UFMG ROFLcopters,,,1/108,,,,2/-,2/54,,,2 (182),,,108,,,,,54,,2,182
32,team46,UFV They tell and They tell,,,6/-,,,,2/154,1/18,,,2 (192),,,,,,,154,18,,2,192
33,team19,PUC Rio NósNumSamba,,,,,,1/-,2/195,1/17,,,2 (232),,,,,,,195,17,,2,232
34,team29,UFCG Izaque's Team,1/-,,2/228,,,,,1/35,5/-,,2 (283),,,228,,,,,35,,2,283
35,team40,UFPE PC JAM,,,2/-,,,1/-,4/237,1/20,,,2 (317),,,,,,,237,20,,2,317
36,team44,UFRGS Submit & Run!,,,1/-,3/-,,,3/267,1/34,,,2 (341),,,,,,,267,34,,2,341
37,team9,UFMG aniMOUSEs,,,3/-,,,,5/265,1/36,,,2 (381),,,,,,,265,36,,2,381
