#,User/Site,C,Name,A,B,C.1,D,E,F,G,H,I,J,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,Total_Qst,Total_Pen
1,teamF5/1,,[BR/USP-Sao Carlos] Ntemtempabobagi,1/69,,1/25,1/117,1/107,2/8,1/85,,2/-,2/209,7 (660),69,,,117,107,8,85,,,7,660
2,teamC2/1,,[BR/USP] Bitelo,2/77,2/-,1/56,2/198,2/120,2/34,1/104,1/-,,1/234,7 (903),77,,,198,120,34,104,,,7,903
3,teamF3/1,,[BR/UFPE] Nao e so pelos 20 minutos,1/65,,1/44,2/213,3/221,1/25,1/99,,,1/187,7 (914),65,,,213,221,25,99,,,7,914
4,teamE4/1,,[BR/Unicamp] I Triple Dare You,2/73,,1/44,1/267,3/188,1/16,3/90,,,5/231,7 (1089),73,,,267,188,16,90,,,7,1089
5,teamA3/1,,[BR/UFPE] =(,1/46,,1/13,1/-,2/136,1/22,2/153,,,1/215,6 (625),46,,,,136,22,153,,,6,625
6,teamH2/1,,[BR/IME] Timelino,2/105,,1/15,1/153,1/-,2/31,2/147,,,1/221,6 (732),105,,,153,,31,147,,,6,732
7,teamC4/1,,"[BR/UFCG] Calma pessoal, calma...",1/99,,1/56,1/-,7/-,1/20,2/223,,,1/174,5 (592),99,,,,,20,223,,,5,592
8,teamC3/1,,[BR/USP] Bpyym,1/57,1/-,1/83,,2/-,1/55,2/165,,,2/283,5 (683),57,,,,,55,165,,,5,683
9,teamF1/1,,[BR/UFG] Monkeys,,,1/81,,1/204,2/27,1/165,,,1/287,5 (784),,,,,204,27,165,,,5,784
10,teamA2/1,,[BR/UFRJ] #YesWeCan read you mail,1/125,,1/65,2/287,,2/26,4/225,,,,5 (828),125,,,287,,26,225,,,5,828
11,teamD1/1,,[BR/ITA] CPF na nota?,1/88,,1/80,,,1/14,2/134,,,4/-,4 (336),88,,,,,14,134,,,4,336
12,teamC6/1,,[BR/UFCG] Coders Gonna Code,3/123,,1/58,1/-,,1/11,2/163,,,,4 (415),123,,,,,11,163,,,4,415
13,teamE2/1,,[BR/UFRJ] Hidden Markov Programmers,2/88,,1/43,,1/295,2/26,9/-,,2/-,,4 (492),88,,,,295,26,,,,4,492
14,teamH6/1,,[BR/UFRN] Voa Absurdo Classico!,4/241,,1/57,,,1/27,3/285,1/-,,,4 (710),241,,,,,27,285,,,4,710
15,teamB6/1,,[BR/UFPR] Ballong Misto de Trypanossoma,3/-,,1/29,4/276,,1/15,6/243,,,,4 (723),,,,276,,15,243,,,4,723
16,teamB3/1,,[BR/Unicamp] All in,5/258,,1/55,,,1/19,,,,7/295,4 (827),258,,,,,19,,,,4,827
17,teamE5/1,,[BR/UFMG] In rand() we trust!,1/143,,1/39,,1/-,2/51,10/-,,,,3 (253),143,,,,,51,,,,3,253
18,teamB7/1,,[BR/UFS] Bateu ai?,1/235,,1/156,,,1/14,,,,,3 (405),235,,,,,14,,,,3,405
19,teamG4/1,,[BR/UFMG] Starters Edition,1/-,,1/62,,,1/31,5/275,,,,3 (448),,,,,,31,275,,,3,448
20,teamB2/1,,[BR/USP-Sao Carlos] aHHHH entaum tah baoum,1/-,,1/43,,,1/21,1/-,,,,2 (64),,,,,,21,,,,2,64
21,teamC1/1,,[BR/UFRGS] BDR,1/-,,1/55,,,3/39,4/-,,,,2 (134),,,,,,39,,,,2,134
22,teamF7/1,,[BR/UNIFEI] Os Feras do Paranaue,6/-,,1/116,,,1/18,1/-,,,,2 (134),,,,,,18,,,,2,134
23,teamG1/1,,[BR/ITA] PlankITA,,,1/101,,,1/39,,,3/-,,2 (140),,,,,,39,,,,2,140
24,teamH5/1,,[BR/UEFS] Untitled.cpp,,,1/139,,,1/23,6/-,,,,2 (162),,,,,,23,,,,2,162
25,teamE7/1,,[BR/UFRN] Kamikaze,1/-,,1/107,,,3/41,,,,,2 (188),,,,,,41,,,,2,188
26,teamD2/1,,[BR/UFSCar] Deggub,,2/-,1/140,,,1/50,,,,,2 (190),,,,,,50,,,,2,190
27,teamH1/1,,[BR/UFFS] The Morgans,1/-,2/-,1/102,,,3/58,,,,,2 (200),,,,,,58,,,,2,200
28,teamG2/1,,[BR/PUC Rio] PUC-Rio 2,5/-,1/-,1/88,1/-,,3/75,,1/-,1/-,,2 (203),,,,,,75,,,,2,203
29,teamD4/1,,[BR/UFES] ETROPUS,2/-,,1/178,,,2/27,1/-,,,,2 (225),,,,,,27,,,,2,225
30,teamE6/1,,[BR/UFMS] k-pivara,,,1/233,,,1/27,,,,,2 (260),,,,,,27,,,,2,260
31,teamF4/1,,[BR/UDESC] Noollab,,,1/213,,,2/40,6/-,,,,2 (273),,,,,,40,,,,2,273
32,teamG6/1,,[BR/UFPEL] SucoDeLaranja,,,2/155,,,3/65,2/-,,,,2 (280),,,,,,65,,,,2,280
33,teamC7/1,,[BR/UFU] Coelhos de dentes afiados,2/-,2/-,1/105,,,5/103,1/-,,,,2 (288),,,,,,103,,,,2,288
34,teamA7/1,,[BR/UFV] admin admin,,2/-,1/243,,,2/53,,,,,2 (316),,,,,,53,,,,2,316
35,teamG8/1,,[BR/UFOP] The Doppler Effect,1/-,,2/216,,,4/49,2/-,,,,2 (345),,,,,,49,,,,2,345
36,teamA5/1,,[BR/FATEC-Sorocaba] 2B||!2B,2/-,,2/285,,1/-,3/35,,,,,2 (380),,,,,,35,,,,2,380
37,teamH3/1,,[BR/UFG] Trainee,,,,,,1/28,4/-,,,,1 (28),,,,,,28,,,,1,28
38,teamD3/1,,[BR/FATEC-Mogi] EQUIPISTOLA,,,,,,1/38,1/-,,,,1 (38),,,,,,38,,,,1,38
39,teamA1/1,,[BR/UNILINS] #kabumba,,,,,,1/44,,,,,1 (44),,,,,,44,,,,1,44
40,teamG3/1,,[BR/Fatec Lins] SoFaltatestar,,,,,,1/47,,,,,1 (47),,,,,,47,,,,1,47
41,teamD8/1,,[BR/UFSC] Gargamel s Team,,2/-,,,,2/31,,,,,1 (51),,,,,,31,,,,1,51
42,teamE1/1,,[BR/UECE] Gatinhos da UECE,5/-,2/-,,,,2/38,,,,,1 (58),,,,,,38,,,,1,58
43,teamD6/1,,[BR/UNIVASF] Fire s Determination,1/-,,,,,2/42,1/-,,,,1 (62),,,,,,42,,,,1,62
44,teamA4/1,,"[BR/UNITAU] 2 de porao, 1 de lab",3/-,,,,,3/40,1/-,,,,1 (80),,,,,,40,,,,1,80
45,teamB4/1,,[UFPI] Alliance,,2/-,,,1/-,3/54,,,,,1 (94),,,,,,54,,,,1,94
46,teamD7/1,,[BR/UPF] Funcionalidade Aleatoria,,1/-,,,,2/77,,,,,1 (97),,,,,,77,,,,1,97
47,teamC5/1,,[BR/UFPA] ClubeDosCanalhas,,2/-,,,,2/79,,,,,1 (99),,,,,,79,,,,1,99
48,teamF6/1,,[BR/UFSCar-Sorocaba] omelette du fromage,1/-,,,,,4/44,5/-,2/-,,2/-,1 (104),,,,,,44,,,,1,104
49,teamE3/1,,[BR/UFMT-Araguaia] HUEHUE BR,,2/-,,,,3/88,,,,,1 (128),,,,,,88,,,,1,128
50,teamE8/1,,[BR/IFTM] Modus Ponens Malditos,,,,,,4/72,1/-,,,,1 (132),,,,,,72,,,,1,132
51,teamA6/1,,[BR/IFCE] ADA,,,,,,6/155,1/-,,,,1 (255),,,,,,155,,,,1,255
52,teamB1/1,,[BR/Unoeste] AG2,,,,,,7/276,,,,,1 (396),,,,,,276,,,,1,396
53,teamB8/1,,[BR/Unis] BCC A,,,1/-,,,15/282,1/-,,,,1 (562),,,,,,282,,,,1,562
