#,User,Name,A,B,C,D,E,F,G,H,I,J,K,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,J_pen,Total_Qst,Total_Pen
1,time27/1,[USP] I am Root,1/3,1/68,1/19,5/224,1/139,1/91,1/58,1/11,1/32,1/285,,10 (1010),3,68,19,224,139,91,58,11,32,285,10,1010
1,time27/1,[USP] I am Root,1/3,1/68,1/19,5/224,1/139,1/91,1/58,1/11,1/32,1/285,,10 (1010),3,68,19,224,139,91,58,11,32,285,10,1010
2,time32/1,[UFCG] Manoel borboleta e miguxos,1/4,1/90,1/51,,1/247,1/-,1/74,2/35,1/123,,6/281,8 (1025),4,90,51,,247,,74,35,123,,8,1025
2,time32/1,[UFCG] Manoel borboleta e miguxos,1/4,1/90,1/51,,1/247,1/-,1/74,2/35,1/123,,6/281,8 (1025),4,90,51,,247,,74,35,123,,8,1025
3,time24/1,[UFRJ] Guns N' Codes,1/5,1/116,2/17,,2/272,,1/88,1/27,2/53,,,7 (638),5,116,17,,272,,88,27,53,,7,638
3,time24/1,[UFRJ] Guns N' Codes,1/5,1/116,2/17,,2/272,,1/88,1/27,2/53,,,7 (638),5,116,17,,272,,88,27,53,,7,638
4,time42/1,[UNICAMP] Rua do sabao,1/5,2/177,1/10,,1/270,,1/104,1/25,1/56,,,7 (667),5,177,10,,270,,104,25,56,,7,667
4,time42/1,[UNICAMP] Rua do sabao,1/5,2/177,1/10,,1/270,,1/104,1/25,1/56,,,7 (667),5,177,10,,270,,104,25,56,,7,667
5,time30/1,[UFMG] Literally Tourists,1/3,1/163,1/24,,1/263,,2/130,2/65,1/80,,,7 (768),3,163,24,,263,,130,65,80,,7,768
5,time30/1,[UFMG] Literally Tourists,1/3,1/163,1/24,,1/263,,2/130,2/65,1/80,,,7 (768),3,163,24,,263,,130,65,80,,7,768
6,time4/1,[USP] Arquiduque Andorinha,1/4,2/137,1/22,,3/266,,2/165,1/32,2/76,,,7 (802),4,137,22,,266,,165,32,76,,7,802
6,time4/1,[USP] Arquiduque Andorinha,1/4,2/137,1/22,,3/266,,2/165,1/32,2/76,,,7 (802),4,137,22,,266,,165,32,76,,7,802
7,time39/1,[UFU] Paitheus quer ir embora,1/6,2/195,1/76,,1/247,,1/187,1/57,1/22,,,7 (810),6,195,76,,247,,187,57,22,,7,810
7,time39/1,[UFU] Paitheus quer ir embora,1/6,2/195,1/76,,1/247,,1/187,1/57,1/22,,,7 (810),6,195,76,,247,,187,57,22,,7,810
8,time14/1,[ITA] CPF na nota?,1/5,1/95,1/30,,,,1/113,1/36,1/60,,,6 (339),5,95,30,,,,113,36,60,,6,339
8,time14/1,[ITA] CPF na nota?,1/5,1/95,1/30,,,,1/113,1/36,1/60,,,6 (339),5,95,30,,,,113,36,60,,6,339
9,time12/1,[UFPE] Code Fu Pandas,1/10,2/110,2/34,,3/-,3/-,3/83,1/24,2/50,,,6 (411),10,110,34,,,,83,24,50,,6,411
9,time12/1,[UFPE] Code Fu Pandas,1/10,2/110,2/34,,3/-,3/-,3/83,1/24,2/50,,,6 (411),10,110,34,,,,83,24,50,,6,411
10,time60/1,[IME] zuera++,1/6,1/168,1/23,1/-,,,1/178,1/47,1/65,,,6 (487),6,168,23,,,,178,47,65,,6,487
10,time60/1,[IME] zuera++,1/6,1/168,1/23,1/-,,,1/178,1/47,1/65,,,6 (487),6,168,23,,,,178,47,65,,6,487
11,time58/1,"[USP] Why Mr. Anderson, why?",1/4,,1/33,,,1/234,1/121,1/44,1/72,,,6 (508),4,,33,,,234,121,44,72,,6,508
11,time58/1,"[USP] Why Mr. Anderson, why?",1/4,,1/33,,,1/234,1/121,1/44,1/72,,,6 (508),4,,33,,,234,121,44,72,,6,508
12,time3/1,[UFPR] Alwaysgood's team,1/6,2/130,1/20,,,,4/231,1/30,1/48,,,6 (545),6,130,20,,,,231,30,48,,6,545
12,time3/1,[UFPR] Alwaysgood's team,1/6,2/130,1/20,,,,4/231,1/30,1/48,,,6 (545),6,130,20,,,,231,30,48,,6,545
13,time44/1,"[UFPE] Scooby, Dooby e Doo",1/4,1/143,1/44,,,,1/177,1/113,1/102,,,6 (583),4,143,44,,,,177,113,102,,6,583
13,time44/1,"[UFPE] Scooby, Dooby e Doo",1/4,1/143,1/44,,,,1/177,1/113,1/102,,,6 (583),4,143,44,,,,177,113,102,,6,583
14,time41/1,[UFG] Remember us!,1/5,2/158,5/84,,1/207,,6/-,1/30,1/109,,,6 (693),5,158,84,,207,,,30,109,,6,693
14,time41/1,[UFG] Remember us!,1/5,2/158,5/84,,1/207,,6/-,1/30,1/109,,,6 (693),5,158,84,,207,,,30,109,,6,693
15,time1/1,[UFRN] AbsurdoLimitExceeded,1/10,3/216,3/48,,4/-,,1/224,3/78,1/103,,,6 (799),10,216,48,,,,224,78,103,,6,799
15,time1/1,[UFRN] AbsurdoLimitExceeded,1/10,3/216,3/48,,4/-,,1/224,3/78,1/103,,,6 (799),10,216,48,,,,224,78,103,,6,799
16,time10/1,[UFRJ] Cachorrada do Fundao,1/5,7/-,1/16,,,,3/105,1/31,2/122,,,5 (339),5,,16,,,,105,31,122,,5,339
16,time10/1,[UFRJ] Cachorrada do Fundao,1/5,7/-,1/16,,,,3/105,1/31,2/122,,,5 (339),5,,16,,,,105,31,122,,5,339
17,time13/1,[UFRGS] Compilation Error,1/4,1/64,1/34,,,,3/254,1/21,4/-,,1/-,5 (417),4,64,34,,,,254,21,,,5,417
17,time13/1,[UFRGS] Compilation Error,1/4,1/64,1/34,,,,3/254,1/21,4/-,,1/-,5 (417),4,64,34,,,,254,21,,,5,417
18,time23/1,[UFSC] Gargamel's Team,1/5,2/157,1/116,,,,1/-,1/33,1/103,,,5 (434),5,157,116,,,,,33,103,,5,434
18,time23/1,[UFSC] Gargamel's Team,1/5,2/157,1/116,,,,1/-,1/33,1/103,,,5 (434),5,157,116,,,,,33,103,,5,434
19,time18/1,[UNIFEI] Epic Sax Guys,1/7,1/-,1/44,,3/-,,5/214,1/46,2/73,,,5 (484),7,,44,,,,214,46,73,,5,484
19,time18/1,[UNIFEI] Epic Sax Guys,1/7,1/-,1/44,,3/-,,5/214,1/46,2/73,,,5 (484),7,,44,,,,214,46,73,,5,484
20,time49/1,[UFFS] The Morgans,1/8,1/-,2/96,,,,4/210,1/32,1/169,,,5 (595),8,,96,,,,210,32,169,,5,595
20,time49/1,[UFFS] The Morgans,1/8,1/-,2/96,,,,4/210,1/32,1/169,,,5 (595),8,,96,,,,210,32,169,,5,595
21,time15/1,[UFSCAR] Deggub,1/6,5/280,2/47,,,,6/-,1/65,2/117,,,5 (635),6,280,47,,,,,65,117,,5,635
21,time15/1,[UFSCAR] Deggub,1/6,5/280,2/47,,,,6/-,1/65,2/117,,,5 (635),6,280,47,,,,,65,117,,5,635
22,time8/1,[UFBA] Bread For (re)Search,1/6,,3/225,,,,1/273,1/15,2/65,,,5 (644),6,,225,,,,273,15,65,,5,644
22,time8/1,[UFBA] Bread For (re)Search,1/6,,3/225,,,,1/273,1/15,2/65,,,5 (644),6,,225,,,,273,15,65,,5,644
23,time5/1,[ITA] Assembly! Rroooaarr,1/5,1/204,,,,,1/265,1/43,1/135,,,5 (652),5,204,,,,,265,43,135,,5,652
23,time5/1,[ITA] Assembly! Rroooaarr,1/5,1/204,,,,,1/265,1/43,1/135,,,5 (652),5,204,,,,,265,43,135,,5,652
24,time53/1,[UFMS] Tuiuiu,1/7,2/265,1/-,,,,,1/51,1/160,,,4 (503),7,265,,,,,,51,160,,4,503
24,time53/1,[UFMS] Tuiuiu,1/7,2/265,1/-,,,,,1/51,1/160,,,4 (503),7,265,,,,,,51,160,,4,503
