Users x Problems,A,B,C,D,E,F,G,H,I,J,Total,Accepted
IME-Atlântico,0,0,2,0,2,3,2,1,2,0,12,5
UFSCoders,0,0,1,1,2,3,5,1,0,0,13,2
UDESC,0,0,1,0,0,3,6,1,0,0,11,3
USJT,0,0,0,2,0,0,0,5,0,0,7,1
FIPP/UNOESTE,0,0,0,0,1,0,4,4,0,0,9,1
UniSantos,0,0,1,0,0,0,0,2,0,0,3,1
CESUPA,3,0,0,0,2,0,0,2,0,0,7,0
ICMC-USP,0,0,1,0,0,0,3,1,0,0,5,3
UFMG,0,0,3,0,0,0,5,1,0,0,9,2
UFS,0,0,1,0,0,2,3,1,8,0,15,4
IBILCE/UNESP,0,0,4,0,0,1,4,1,0,0,10,3
UFC,0,0,2,0,0,0,1,1,0,0,4,3
ITA,0,0,9,0,0,10,2,1,10,0,32,3
UECE,0,0,1,0,0,3,3,1,9,0,17,4
Unioeste,0,0,0,0,0,0,0,2,0,0,2,1
UERJ,4,0,2,1,0,0,3,2,0,0,12,3
UnB,0,0,2,2,0,0,1,1,2,0,8,2
UFMA,0,0,2,1,0,0,1,3,1,0,8,3
PUC,0,0,0,0,0,1,2,1,0,0,4,2
UECE,0,0,1,0,0,3,3,1,2,0,10,4
UEMS,0,0,0,3,0,0,2,1,0,0,6,1
IME-Ártico,0,0,1,1,0,0,0,1,1,0,4,3
Uninove,0,0,1,0,0,0,0,6,0,0,7,0
UNAES,0,0,0,0,0,0,0,1,0,1,2,1
Unicamp,0,0,3,1,5,3,1,3,4,0,20,5
FIC,0,0,0,0,0,0,0,0,0,0,0,0
UNIP,3,0,0,2,0,0,0,1,0,0,6,1
ICMC-USP,0,0,1,1,0,0,1,1,3,0,7,2
UFCG,1,0,2,0,0,0,0,1,5,0,9,2
UFRN,0,0,2,0,0,0,3,1,0,0,6,3
UNIPAM,0,0,0,0,1,0,0,1,0,0,2,1
PUC,0,0,1,0,0,0,0,1,0,0,2,1
DCC-UFRJ,0,0,6,0,0,2,2,3,2,0,15,5
Unicamp,0,0,6,0,3,0,3,1,2,0,15,4
UFES,0,0,2,0,0,0,2,1,3,0,8,3
IME-USP,0,0,1,2,0,7,1,1,2,0,14,3
FURG,0,0,3,0,0,4,1,1,0,0,9,3
ITA,1,0,2,9,1,2,1,1,1,0,18,8
URI-Erechim,0,0,4,0,0,0,0,2,0,0,6,1
UFPE,0,0,2,0,0,1,4,1,0,0,8,2
UNIFEI,0,0,1,3,1,0,1,1,0,0,7,2
PUC,0,0,2,0,0,7,1,1,1,0,12,4
UFMG,0,0,1,0,0,0,2,2,0,0,5,2
UFRGS,0,0,1,3,0,0,3,1,0,0,8,2
UPE,0,0,0,0,0,0,0,1,0,0,1,1
UFV,0,0,6,0,0,0,2,1,0,0,9,2
UFPR,0,0,4,4,8,1,2,1,3,0,23,4
UFRGS,0,0,2,0,1,0,2,1,3,0,9,3
IME-USP,0,0,1,2,1,1,1,1,5,3,15,7
UFMS,0,0,7,1,0,0,6,1,0,0,15,3
DCC-UFRJ,0,0,2,2,0,0,1,1,2,0,8,3
