0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Users x Problems,A,B,C,D,E,F,G,H,I,J,K,L,M,Total,Accepted
Desistiu???,0,0,1 (17%),0,0,0,1 (17%),1 (17%),1 (17%),2 (33%),0,0,0,6,2 (33%)
Tô Nem Vendo,0,0,1 (10%),0,1 (10%),4 (40%),0,1 (10%),2 (20%),1 (10%),0,0,0,10,6 (60%)
Choose difficulty: TITAN,0,4 (27%),1 (7%),3 (20%),1 (7%),1 (7%),2 (13%),1 (7%),1 (7%),1 (7%),0,0,0,15,9 (60%)
Wesley e os Safadões,0,0,5 (36%),0,3 (21%),0,0,1 (7%),5 (36%),0,0,0,0,14,4 (29%)
YouShallNot.cpp,0,0,3 (38%),0,0,0,0,1 (13%),4 (50%),0,0,0,0,8,3 (38%)
Skynet dos Pampas,0,0,2 (20%),0,0,0,0,1 (10%),7 (70%),0,0,0,0,10,2 (20%)
Javainois,0,2 (67%),0,0,0,0,0,1 (33%),0,0,0,0,0,3,1 (33%)
Ceferberus,0,0,4 (80%),0,0,0,0,1 (20%),0,0,0,0,0,5,2 (40%)
Simone e Simara UFMA,0,0,1 (14%),3 (43%),0,1 (14%),0,2 (29%),0,0,0,0,0,7,2 (29%)
Dragon Ball C,0,0,0,0,0,0,0,1 (100%),0,0,0,0,0,1,1 (100%)
UNESP Bauru,0,0,14 (93%),0,0,0,0,1 (7%),0,0,0,0,0,15,1 (7%)
ALT,0,1 (5%),1 (5%),2 (10%),1 (5%),2 (10%),3 (14%),1 (5%),3 (14%),2 (10%),0,0,5 (24%),21,9 (43%)
Lorem Ipsum,0,1 (5%),4 (21%),0,2 (11%),4 (21%),1 (5%),1 (5%),3 (16%),2 (11%),0,0,1 (5%),19,8 (42%)
fuze,0,0,4 (40%),0,0,2 (20%),0,1 (10%),0,3 (30%),0,0,0,10,2 (20%)
while(1),0,0,6 (55%),0,0,4 (36%),0,1 (9%),0,0,0,0,0,11,1 (9%)
C ilá,0,0,1 (20%),0,0,3 (60%),0,1 (20%),0,0,0,0,0,5,2 (40%)
C-3PO,0,0,3 (75%),0,0,0,0,1 (25%),0,0,0,0,0,4,2 (50%)
Trupe da Biologia,0,7 (33%),2 (10%),0,1 (5%),1 (5%),0,1 (5%),1 (5%),0,0,0,8 (38%),21,9 (43%)
O importante é não zerar!,0,0,1 (20%),0,0,3 (60%),0,1 (20%),0,0,0,0,0,5,2 (40%)
C de Carrasco,0,0,1 (50%),0,0,0,0,1 (50%),0,0,0,0,0,2,1 (50%)
aBNT Tigers,0,0,4 (80%),0,0,0,0,1 (20%),0,0,0,0,0,5,2 (40%)
vai_na.sort(),0,0,1 (14%),0,0,3 (43%),0,1 (14%),0,2 (29%),0,0,0,7,2 (29%)
VDC,0,0,1 (14%),0,0,2 (29%),1 (14%),1 (14%),1 (14%),1 (14%),0,0,0,7,6 (86%)
IRMÃO OLHO,0,0,0,0,0,1 (20%),0,4 (80%),0,0,0,0,0,5,1 (20%)
Time da Jaula,0,0,1 (11%),1 (11%),0,0,0,1 (11%),0,6 (67%),0,0,0,9,2 (22%)
Algum Ritmo,0,0,1 (20%),0,1 (20%),0,0,1 (20%),2 (40%),0,0,0,0,5,3 (60%)
Cafeína Overflow,0,0,4 (33%),0,1 (8%),0,0,1 (8%),1 (8%),5 (42%),0,0,0,12,1 (8%)
D_bug,0,0,7 (88%),0,0,0,0,1 (13%),0,0,0,0,0,8,1 (13%)
Esse é meu time,0,1 (9%),1 (9%),0,2 (18%),2 (18%),1 (9%),1 (9%),1 (9%),1 (9%),0,0,1 (9%),11,8 (73%)
NULL 1,0,0,5 (71%),0,0,0,0,1 (14%),1 (14%),0,0,0,0,7,1 (14%)
Six Balls,0,0,1 (7%),0,1 (7%),2 (14%),0,1 (7%),2 (14%),7 (50%),0,0,0,14,10 (71%)
URI Luminatti,0,0,2 (14%),0,1 (7%),4 (29%),0,1 (7%),2 (14%),4 (29%),0,0,0,14,5 (36%)
Invictus,0,0,7 (88%),0,0,0,0,1 (13%),0,0,0,0,0,8,2 (25%)
Teorema de Offson,0,2 (18%),1 (9%),0,1 (9%),1 (9%),0,1 (9%),3 (27%),2 (18%),0,0,0,11,7 (64%)
#include __FILE__,0,2 (15%),5 (38%),0,1 (8%),2 (15%),0,1 (8%),1 (8%),1 (8%),0,0,0,13,5 (38%)
Teoria dos Papibaquígrafos,0,0,1 (11%),0,0,5 (56%),0,1 (11%),2 (22%),0,0,0,0,9,3 (33%)
Veteranos Bolados,0,2 (13%),5 (33%),0,1 (7%),2 (13%),1 (7%),1 (7%),2 (13%),1 (7%),0,0,0,15,7 (47%)
Nome Provisório,0,0,3 (60%),0,1 (20%),0,0,1 (20%),0,0,0,0,0,5,2 (40%)
O Legado de Maldito,0,0,2 (40%),0,2 (40%),0,0,1 (20%),0,0,0,0,0,5,2 (40%)
100^o,0,0,7 (54%),0,1 (8%),2 (15%),0,1 (8%),1 (8%),1 (8%),0,0,0,13,4 (31%)
Ops! Solução Trivial,0,2 (20%),1 (10%),0,1 (10%),1 (10%),1 (10%),1 (10%),2 (20%),1 (10%),0,0,0,10,7 (70%)
Turkeys,0,1 (4%),5 (19%),1 (4%),7 (26%),3 (11%),6 (22%),1 (4%),2 (7%),1 (4%),0,0,0,27,7 (26%)
Na zdrowie!,0,0,4 (80%),0,0,0,0,1 (20%),0,0,0,0,0,5,1 (20%)
"¯\\_( ""/ )_/¯",0,1 (4%),1 (4%),2 (9%),2 (9%),2 (9%),1 (4%),1 (4%),1 (4%),1 (4%),0,1 (4%),10 (43%),23,16 (70%)
NUll TItle,0,0,4 (57%),0,2 (29%),0,0,1 (14%),0,0,0,0,0,7,1 (14%)
"One balloon at a time, please!",0,0,1 (17%),0,4 (67%),0,0,1 (17%),0,0,0,0,0,6,2 (33%)
RALÔTIM,0,0,1 (17%),0,0,4 (67%),0,1 (17%),0,0,0,0,0,6,2 (33%)
Ginga com Tapioca,3 (23%),2 (15%),1 (8%),0,1 (8%),2 (15%),1 (8%),1 (8%),1 (8%),1 (8%),0,0,0,13,8 (62%)
Over9k,0,0,1 (9%),0,0,0,0,1 (9%),9 (82%),0,0,0,0,11,2 (18%)
Bit Please,0,0,1 (14%),0,2 (29%),1 (14%),0,1 (14%),2 (29%),0,0,0,0,7,3 (43%)
Cvaicomnois kazuya,0,0,1 (50%),0,0,0,0,1 (50%),0,0,0,0,0,2,2 (100%)
Access Violation,0,0,1 (20%),0,2 (40%),1 (20%),0,1 (20%),0,0,0,0,0,5,2 (40%)
Monkeys,0,1 (11%),1 (11%),0,3 (33%),1 (11%),1 (11%),1 (11%),1 (11%),0,0,0,0,9,7 (78%)
Bira e seus craques,0,0,1 (8%),0,1 (8%),3 (25%),0,1 (8%),5 (42%),1 (8%),0,0,0,12,3 (25%)
Trei Linha,0,1 (5%),1 (5%),4 (20%),1 (5%),1 (5%),1 (5%),1 (5%),3 (15%),1 (5%),0,0,6 (30%),20,9 (45%)
CalopsITA,0,1 (4%),4 (17%),0,2 (9%),4 (17%),3 (13%),1 (4%),3 (13%),1 (4%),0,0,4 (17%),23,8 (35%)
CEFETIM,0,1 (8%),1 (8%),2 (17%),3 (25%),4 (33%),0,1 (8%),0,0,0,0,0,12,2 (17%)
BugBusters,0,1 (8%),3 (23%),0,0,0,0,1 (8%),1 (8%),7 (54%),0,0,0,13,3 (23%)
NP-Drada,0,0,1 (14%),0,1 (14%),3 (43%),0,1 (14%),1 (14%),0,0,0,0,7,3 (43%)
80km é 80km @do,0,0,2 (22%),0,0,2 (22%),0,1 (11%),4 (44%),0,0,0,0,9,1 (11%)
Se juntas causa imagina juntas,0,2 (18%),1 (9%),0,1 (9%),3 (27%),1 (9%),1 (9%),1 (9%),1 (9%),0,0,0,11,9 (82%)
That Was Easy,0,2 (11%),1 (5%),0,5 (26%),0,0,1 (5%),9 (47%),0,0,1 (5%),0,19,2 (11%)
Só queria fazer joguinho,0,0,1 (33%),0,1 (33%),0,0,1 (33%),0,0,0,0,0,3,2 (67%)
Ahozinho com Feijão,0,0,1 (6%),4 (25%),3 (19%),3 (19%),2 (13%),1 (6%),1 (6%),1 (6%),0,0,0,16,7 (44%)
Array of Thrones,0,0,1 (13%),0,2 (25%),0,0,1 (13%),0,4 (50%),0,0,0,8,2 (25%)
stormtroop3rs [C],0,1 (9%),2 (18%),0,1 (9%),4 (36%),0,1 (9%),2 (18%),0,0,0,0,11,5 (45%)
Traveling Balloonsmen,0,0,1 (50%),0,0,0,0,1 (50%),0,0,0,0,0,2,2 (100%)
Gemidão da Maratona,0,0,2 (20%),0,0,3 (30%),0,1 (10%),2 (20%),2 (20%),0,0,0,10,2 (20%)
dog hits dog,0,1 (6%),1 (6%),3 (18%),2 (12%),2 (12%),1 (6%),1 (6%),2 (12%),4 (24%),0,0,0,17,9 (53%)
TLEfobia,0,0,2 (50%),0,0,0,0,1 (25%),1 (25%),0,0,0,0,4,2 (50%)
bit please;,0,0,2 (50%),0,0,0,0,1 (25%),0,1 (25%),0,0,0,4,2 (50%)
Nuclear Coders,0,2 (22%),1 (11%),0,1 (11%),0,1 (11%),1 (11%),1 (11%),2 (22%),0,0,0,9,6 (67%)
