#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin
1,1,Guilherme Pinto,-717,A,C,guilherme.c,judged,judge3 (1),YES,1
2,1,Guilherme Pinto,-716,A,C++,fidel.cpp,judged,judge1 (1),YES,1
3,1,Guilherme Pinto,-716,A,Java,cruz.java,judged,judge1 (1),NO - Filename mismatch,0
4,1,Guilherme Pinto,-713,A,Java,A.java,judged,judge1 (1),YES,1
5,1,Vinicius dos Santos,-707,A,C,mem.c,judged,judge3 (1),NO - Wrong answer,0
6,1,Vinicius dos Santos,-707,A,C,mem.c,judged,judge3 (1),NO - Compilation error,0
7,1,Guilherme Pinto,-704,B,C++,fidel.cpp,judged,judge1 (1),NO - Runtime error,0
8,1,Guilherme Pinto,-703,B,Java,B.java,judged,judge1 (1),YES,1
9,1,Guilherme Pinto,-703,B,C++,fidel.cpp,judged,judge1 (1),YES,1
10,1,Guilherme Pinto,-702,B,C++,bruno.cpp,judged,judge1 (1),YES,1
11,1,Guilherme Pinto,-699,C,C,guilherme.c,judged,judge1 (1),YES,1
12,1,Guilherme Pinto,-698,C,C++,pablo.cpp,judged,judge1 (1),YES,1
13,1,Guilherme Pinto,-698,C,Java,C.java,judged,judge1 (1),YES,1
14,1,Guilherme Pinto,-696,D,C++,leo.cpp,judged,judge1 (1),YES,1
15,1,Guilherme Pinto,-696,D,Java,D.java,judged,judge1 (1),NO - Compilation error,0
16,1,Guilherme Pinto,-696,D,C++,fidel.cpp,judged,judge1 (1),YES,1
17,1,Guilherme Pinto,-693,E,C++,timing.cpp,judged,judge1 (1),YES,1
18,1,Guilherme Pinto,-693,E,Java,E.java,judged,judge3 (1),YES,1
19,1,Guilherme Pinto,-691,F,C,guilherme.c,judged,judge1 (1),YES,1
20,1,Guilherme Pinto,-690,F,Java,F.java,judged,judge1 (1),YES,1
21,1,Guilherme Pinto,-690,F,C++,pablo.cpp,judged,judge1 (1),YES,1
22,1,Guilherme Pinto,-688,G,C,guilherme-main.c,judged,judge1 (1),YES,1
23,1,Guilherme Pinto,-688,G,Java,G.java,judged,judge1 (1),YES,1
24,1,Guilherme Pinto,-688,G,C++,fidel.cpp,judged,judge1 (1),YES,1
25,1,Guilherme Pinto,-686,H,C,guilherme.c,judged,judge1 (1),YES,1
26,1,Guilherme Pinto,-686,H,C++,pablo.cpp,judged,judge1 (1),YES,1
27,1,Guilherme Pinto,-685,H,Java,H.java,judged,judge1 (1),YES,1
28,1,Guilherme Pinto,-683,I,C,guilherme.c,judged,judge1 (1),YES,1
29,1,Guilherme Pinto,-683,I,C++,fidel.cpp,judged,judge1 (1),YES,1
30,1,Guilherme Pinto,-683,I,Java,I.java,judged,judge1 (1),YES,1
31,1,Guilherme Pinto,-681,J,C++,fidel-alt-log2.cpp,judged,judge1 (1),YES,1
32,1,Guilherme Pinto,-681,J,C++,J.java,judged,judge1 (1),NO - Compilation error,0
33,1,Guilherme Pinto,-681,J,C,guilherme.c,judged,judge1 (1),NO - Time limit exceeded,0
34,1,Guilherme Pinto,-680,J,Java,J.java,judged,judge1 (1),YES,1
35,1,Guilherme Pinto,-677,K,C++,timing.cpp,judged,judge1 (1),YES,1
36,1,Guilherme Pinto,-677,K,Java,K.java,judged,judge1 (1),YES,1
37,1,Guilherme Pinto,-675,J,C++,fidel.cpp,judged,judge3 (1),YES,1
38,1,Guilherme Pinto,-632,D,Java,D.java,judged,judge3 (1),YES,1
39,1,I am Root,3,A,C++,a.cpp,judged,judge2 (1),YES,1
40,1,Literally Tourists,3,A,C++,a.cpp,judged,judge2 (1),YES,1
41,1,Manoel borboleta e miguxos,4,A,C++,A.cpp,judged,judge2 (1),YES,1
42,1,um balao ta bao,4,A,C,A.c,judged,judge1 (1),YES,1
43,1,Ops! Solucao Trivial,4,A,C,A.c,judged,judge1 (1),YES,1
44,1,Arquiduque Andorinha,4,A,C++,A.cpp,judged,judge3 (1),YES,1
45,1,"Why Mr. Anderson, why?",4,A,C++,A.cpp,judged,judge2 (1),YES,1
46,1,bytemen,4,A,Java,A.java,judged,judge1 (1),YES,1
47,1,Compilation Error,4,A,C++,a.cpp,judged,judge3 (1),YES,1
48,1,"Scooby, Dooby e Doo",4,A,C++,A.cpp,judged,judge3 (1),YES,1
49,1,Remember us!,5,A,C++,A.cpp,judged,judge1 (1),YES,1
50,1,Cachorrada do Fundao,5,A,C++,A.cpp,judged,judge2 (1),YES,1
51,1,NULL_,5,A,C++,A.cpp,judged,judge2 (1),YES,1
52,1,Zeppelin,5,A,C,A.c,judged,judge1 (1),YES,1
53,1,Rua do sabao,5,A,C++,A.cpp,judged,judge2 (1),YES,1
54,1,Gargamel's Team,5,A,C,a.c,judged,judge2 (1),YES,1
55,1,CPF na nota?,5,A,C++,a.cpp,judged,judge3 (1),YES,1
56,1,Trio de 11,5,A,C++,A.cpp,judged,judge3 (1),NO - Wrong answer,0
57,1,Guns N' Codes,5,A,C++,A.cpp,judged,judge1 (1),YES,1
58,1,Assembly! Rroooaarr,5,A,C++,a.cpp,judged,judge2 (1),YES,1
59,1,Euterpe,6,A,C++,a.cpp,judged,judge2 (1),YES,1
60,1,UFU Fighters,6,A,C++,a.cpp,judged,judge5 (1),YES,1
61,1,#include <gambiarra.h>,6,A,C++,A.cpp,judged,judge5 (1),YES,1
62,1,Don't Care,6,A,C++,A.cpp,judged,judge2 (1),YES,1
63,1,zuera++,6,A,C++,A.cpp,judged,judge2 (1),YES,1
64,1,TLE,6,A,C,A.c,judged,judge2 (1),YES,1
65,1,#include <beer.h>,6,A,C++,a.cpp,judged,judge2 (1),YES,1
66,1,Alwaysgood's team,6,A,C,A.c,judged,judge2 (1),YES,1
67,1,Bread For (re)Search,6,A,C++,a.cpp,judged,judge2 (1),YES,1
68,1,To Bit or Not To Bit,6,A,C++,a.cpp,judged,judge1 (1),YES,1
69,1,Paitheus quer ir embora,6,A,C++,A.cpp,judged,judge3 (1),YES,1
70,1,Deggub,6,A,C++,a.cpp,judged,judge1 (1),YES,1
71,1,Segmentation_Fault,6,A,C++,A.cpp,judged,judge1 (1),YES,1
72,1,Epic Sax Guys,7,A,C++,A.cpp,judged,judge3 (1),YES,1
73,1,Don't care,7,A,C++,A.cpp,judged,judge1 (1),YES,1
74,1,Bateu Ai?,7,A,C++,A.cpp,judged,judge2 (1),YES,1
75,1,Tuiuiu,7,A,C,A.c,judged,judge1 (1),YES,1
76,1,Chico,7,A,C++,A.cpp,judged,judge3 (1),YES,1
77,1,The Morgans,8,A,C++,A.cpp,judged,judge5 (1),YES,1
78,1,High Density Matter,8,A,C++,a.cpp,judged,judge1 (1),YES,1
79,1,Monkeys,8,A,C++,pa.cpp,judged,judge1 (1),YES,1
80,1,Bits Pantaneiro,8,A,C,A.c,judged,judge2 (1),NO - Wrong answer,0
81,1,O(log n),8,A,C++,A.cpp,judged,judge2 (1),YES,1
82,1,Lone Wolves,9,A,C++,A.cpp,judged,judge5 (1),YES,1
