ano,time,competidor,reserva,classificado,link_foto,posicao,medalha
2017,"USP-SP - ¯\_( ""/ )_/¯", Yan Couto,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp1.jpg,1,gold
2017,"USP-SP - ¯\_( ""/ )_/¯", Victor Sena Moleiro,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp1.jpg,1,gold
2017,"USP-SP - ¯\_( ""/ )_/¯",Arthur Nascimento,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp1.jpg,1,gold
2017,"USP-SP - ¯\_( ""/ )_/¯",pelos ,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp1.jpg,1,gold
2017,USP-SC - Trei Linha, Samuel Santos,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp-sc.jpg,2,gold
2017,USP-SC - Trei Linha, Rodrigo Weigert,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp-sc.jpg,2,gold
2017,USP-SC - Trei Linha,Lucas de Oliveira Pacheco,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp-sc.jpg,2,gold
2017,USP-SC - Trei Linha,,0,1,http://maratona.ime.usp.br/resultados17/fotos/usp-sc.jpg,2,gold
2017,UFPE - ALT, Arthur Costa,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufpe.jpg,3,gold
2017,UFPE - ALT, Tiago Gonçalves,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufpe.jpg,3,gold
2017,UFPE - ALT,Lucas Santana,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufpe.jpg,3,gold
2017,UFPE - ALT,,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufpe.jpg,3,gold
2017,USP-SP - dog hits dog, Gabriel Oliveira,0,0,http://maratona.ime.usp.br/resultados17/fotos/usp2.jpg,4,silver
2017,USP-SP - dog hits dog, Nathan Benedetto Proença,0,0,http://maratona.ime.usp.br/resultados17/fotos/usp2.jpg,4,silver
2017,USP-SP - dog hits dog, Pedro Sousa,0,0,http://maratona.ime.usp.br/resultados17/fotos/usp2.jpg,4,silver
2017,USP-SP - dog hits dog,,0,0,http://maratona.ime.usp.br/resultados17/fotos/usp2.jpg,4,silver
2017,UFCG - Choose difficulty: TITAN, Felipe Mota dos Santos,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufcg1.jpg,5,silver
2017,UFCG - Choose difficulty: TITAN, Árysson Figueiredo,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufcg1.jpg,5,silver
2017,UFCG - Choose difficulty: TITAN, Ordan Silva Santos,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufcg1.jpg,5,silver
2017,UFCG - Choose difficulty: TITAN,Paulo Silva ,1,1,http://maratona.ime.usp.br/resultados17/fotos/ufcg1.jpg,5,silver
2017,UFCG - Choose difficulty: TITAN,,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufcg1.jpg,5,silver
2017,UFRN - Ginga com Tapioca, Railton Calheiros,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufrn.jpg,6,silver
2017,UFRN - Ginga com Tapioca, Hélio Duarte,0,1,http://maratona.ime.usp.br/resultados17/fotos/ufrn.jpg,6,silver
