0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
1,1,,-98,F,C,guilherme.c,judged,juiz4 (1),YES
2,1,,-97,A,C,guilherme.c,judged,juiz5 (1),NO - Time limit exceeded
3,1,,-37,A,C++,ray.cpp,judged,juiz5 (1),YES
4,1,,-34,C,C++,C_pablo.cpp,judged,juiz4 (1),YES
5,1,,-33,C,C++,fidel-slow.cpp,judged,juiz4 (1),NO - Time limit exceeded
6,1,,-32,B,C++,B_pablo.cpp,judged,juiz5 (1),YES
7,1,,-32,D,C++,fidel.cpp,judged,juiz5 (1),YES
8,1,,-31,B,C++,fidel.cpp,judged,juiz5 (1),YES
9,1,,-23,E,C++,fidel.cpp,judged,juiz6 (1),YES
10,1,,-23,E,C,guilherme.c,judged,juiz6 (1),YES
11,1,,-22,G,C++,G_pablo.cpp,judged,juiz6 (1),YES
12,1,,-22,G,C,ranido.c,judged,juiz4 (1),YES
13,1,,-21,B,Java,B.java,judged,juiz5 (1),YES
14,1,,-21,G,C,guilherme.c,judged,juiz4 (1),NO - Time limit exceeded
15,1,,-19,H,C++,fidel.cpp,judged,juiz5 (1),YES
16,1,,-19,I,C,ranido.c,judged,juiz6 (1),YES
17,1,,-19,H,Java,H_pancho.java,judged,juiz2 (1),NO - Filename mismatch
18,1,,-18,J,C++,ray.cpp,judged,juiz3 (1),YES
19,1,,-18,J,C++,fidel.cpp,judged,juiz4 (1),YES
20,1,,-15,J,C,ranido_slow_lca.c,judged,juiz4 (1),NO - Time limit exceeded
21,1,,-15,J,Java,J_pancho.java,judged,juiz3 (1),NO - Filename mismatch
22,1,,-14,J,Java,J.java,judged,juiz3 (1),NO - Filename mismatch
23,1,,-13,A,C++,fidel-slow.cpp,judged,juiz4 (1),NO - Runtime error
24,1,,-12,J,C++,fidel-slow.cpp,judged,juiz6 (1),NO - Time limit exceeded
25,1,,-11,J,C,ranido_slow_lca.c,judged,juiz4 (1),NO - Time limit exceeded
26,1,,-7,J,Java,J.java,judged,juiz4 (1),YES
27,1,,-6,J,C,ray.cpp,judged,juiz4 (1),NO - Compilation error
28,1,Señora Margarida,4,D,C++,D.cpp,judged,juiz4 (1),YES
29,1,I Can Haz Balloonz,5,D,C++,d.cpp,judged,juiz3 (1),YES
30,1,Os Cartolas,6,D,C++,d.cpp,judged,juiz2 (1),YES
31,1,IFSC - Schrödingers Katze,6,H,C++,H.cpp,judged,juiz3 (1),YES
32,1,MOJUCA,7,D,C++,D.cpp,judged,juiz6 (1),YES
33,1,PhD na área;,7,D,C++,d.cpp,judged,juiz3 (1),YES
34,1,4 Fun 2 Win,7,D,C++,D.cpp,judged,juiz6 (1),YES
35,1,sudo make a sandwich,8,D,C++,D.cpp,judged,juiz4 (1),YES
36,1,Time do Feipa,8,D,C++,D.cpp,judged,juiz4 (1),YES
37,1,#include <RijeéL>,8,D,C++,D.cpp,judged,juiz6 (1),YES
38,1,ASA,8,D,C++,d.cpp,judged,juiz3 (1),YES
39,1,Absurdo Clássico - Agora Vai!,9,D,C++,D.cpp,judged,juiz6 (1),YES
40,1,using namespace none;,10,D,C++,D.cpp,judged,juiz2 (1),YES
41,1,"jQuery bool, jQuery char!",11,D,C++,diferent.cpp,judged,juiz4 (1),YES
42,1,PonteirosReversos,11,D,C++,d.cpp,judged,juiz6 (1),YES
43,1,Spanish Inquisition,11,H,C++,H.cpp,judged,juiz3 (1),YES
44,1,Coração das Cartas,11,D,C++,D.cpp,judged,juiz6 (1),YES
45,1,Knights of The Round Robin,11,D,C++,D.cpp,judged,juiz4 (1),YES
46,1,IFSC - Schrödingers Katze,11,D,C++,D.cpp,judged,juiz4 (1),YES
47,1,ETROPUS,11,D,C,d.c,judged,juiz6 (1),YES
48,1,MargarITA,11,H,C++,h.cpp,judged,juiz2 (1),YES
49,1,Monkeys,11,D,C++,D.cpp,judged,juiz4 (1),YES
50,1,UFMG Starters Edition,12,D,C++,d.cpp,judged,juiz6 (1),YES
51,1,UFMG In rand() we trust!,12,D,C++,d.cpp,judged,juiz3 (1),YES
52,1,Timelhosa,12,D,C++,D.cpp,judged,juiz3 (1),YES
53,1,Chinelada na Orelha,13,H,C++,a.cpp,judged,juiz4 (1),YES
54,1,Colecionadores de Balões,13,D,C++,different.cpp,judged,juiz6 (1),YES
55,1,Absurdo Clássico - Agora Vai!,13,H,C++,H.cpp,judged,juiz2 (1),YES
56,1,Os Cartolas,14,H,C++,h.cpp,judged,juiz2 (1),YES
57,1,Gargamels Team,14,D,C,d.c,judged,juiz2 (1),YES
58,1,while (c==8),14,D,C++,D.cpp,judged,juiz2 (1),YES
59,1,"jQuery bool, jQuery char!",15,H,C++,hours.cpp,judged,juiz2 (1),YES
60,1,MargarITA,15,D,C++,d.cpp,judged,juiz5 (1),YES
61,1,Stalingrafo,15,D,C++,D.cpp,judged,juiz6 (1),YES
62,1,Já Chegou o Disco Voador,15,D,Java,D.java,judged,juiz6 (1),YES
63,1,Y U no accept?,15,D,C++,d.cpp,judged,juiz5 (1),YES
64,1,Berro Trypanossomático,15,H,C++,H.cpp,judged,juiz6 (1),YES
65,1,Vruum,16,D,C++,d.cpp,judged,juiz2 (1),YES
66,1,MOJUCA,16,H,C++,H.cpp,judged,juiz2 (1),YES
67,1,Monkeys,17,H,C++,H.cpp,judged,juiz4 (1),YES
68,1,sudo make a sandwich,17,H,C++,H.cpp,judged,juiz2 (1),YES
69,1,PhD na área;,19,H,C++,h.cpp,judged,juiz6 (1),NO - Wrong answer
70,1,Knights of The Round Robin,19,H,C++,H.cpp,judged,juiz2 (1),YES
71,1,Unoeste WJR,19,H,C++,hm.cpp,judged,juiz3 (1),YES
72,1,using namespace none;,19,H,C++,H.cpp,judged,juiz2 (1),YES
73,1,PontoCPP,19,H,C++,h.cpp,judged,juiz2 (1),YES
74,1,Untitled.c,20,H,C,H.c,judged,juiz3 (1),YES
75,1,Timelhosa,20,H,C++,H.cpp,judged,juiz3 (1),NO - Wrong answer
76,1,ASA,21,H,C++,h.cpp,judged,juiz3 (1),YES
77,1,Largest Living Rodent,21,H,C,H.c,judged,juiz3 (1),YES
78,1,Berro Trypanossomático,21,D,C++,D.cpp,judged,juiz2 (1),YES
79,1,Não Entre em Pânico,21,H,C++,H.cpp,judged,juiz3 (1),YES
80,1,UFMG In rand() we trust!,21,H,C++,H.cpp,judged,juiz3 (1),YES
81,1,Coração das Cartas,21,H,C++,H.cpp,judged,juiz3 (1),YES
82,1,Grupo Gama,21,D,C,D.c,judged,juiz2 (1),YES
83,1,a; DROP TABLEuser; --,21,D,C++,D.cpp,judged,juiz3 (1),YES
84,1,Gargamels Team,22,H,C,h.c,judged,juiz2 (1),YES
85,1,while (c==8),23,H,C++,H.cpp,judged,juiz3 (1),NO - Wrong answer
86,1,Spanish Inquisition,23,D,C++,D.cpp,judged,juiz6 (1),YES
87,1,#include <RijeéL>,23,H,C++,H.cpp,judged,juiz2 (1),YES
88,1,Time do Feipa,24,H,C++,H.cpp,judged,juiz2 (1),YES
89,1,Stalingrafo,24,H,C++,H.cpp,judged,juiz2 (1),YES
90,1,char *alho;,24,D,C++,D.cpp,judged,juiz6 (1),NO - Wrong answer
91,1,DEBUG,24,H,C,H.c,judged,juiz3 (1),YES
92,1,Chinelada na Orelha,24,D,C++,d.cpp,judged,juiz2 (1),YES
93,1,Programação Orientada a Balões,25,D,C++,exd.cpp,judged,juiz6 (1),NO - Wrong answer
94,1,4 Fun 2 Win,25,H,C++,H.cpp,judged,juiz3 (1),YES
95,1,a; DROP TABLEuser; --,26,H,C++,H.cpp,judged,juiz2 (1),YES
