#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin
1,1,Juiz 5,-272,A,C,gap-rooks.c,judged,juiz3 (1),YES,1
2,1,Juiz 5,-272,A,C++,fidel-rooks.cpp,judged,juiz3 (1),YES,1
3,1,Juiz 3,-271,J,C,gap-join2k-linear.c,judged,juiz3 (1),YES,1
4,1,Juiz 5,-271,A,C++,rooks-pablo-greedy.cpp,judged,juiz3 (1),NO - Time limit exceeded,0
5,1,Juiz 3,-271,J,C,gap-join2k-quadratic.c,judged,juiz3 (1),NO - Time limit exceeded,0
6,1,Juiz 3,-270,I,C++,huffman-leo.cpp,judged,juiz3 (1),YES,1
7,1,Juiz 5,-270,B,C++,fidel-unreadable-mult.cpp,judged,juiz3 (1),YES,1
8,1,Juiz 3,-270,I,C,gap-huffman.c,judged,juiz3 (1),YES,1
9,1,Juiz 5,-269,A,C++,fidel-unreadable-slow-opt.cpp,judged,juiz3 (1),NO - Wrong answer,0
10,1,Juiz 5,-269,A,C,fidel-unreadable-slow.cpp,judged,juiz3 (1),NO - Compilation error,0
11,1,Juiz 3,-269,H,C++,hideandseek-pablo.cpp,judged,juiz5 (1),YES,1
12,1,Juiz 3,-269,H,C++,gap-hideandseek-slow.cpp,judged,juiz5 (1),NO - Time limit exceeded,0
13,1,Juiz 5,-267,B,C++,fidel-unreadable-slow.cpp,judged,juiz3 (1),NO - Time limit exceeded,0
14,1,Juiz 5,-266,B,C++,unreadable_pablo.cpp,judged,juiz3 (1),YES,1
15,1,Juiz 5,-265,C,C++,cbits_ray.cpp,judged,juiz3 (1),YES,1
16,1,Juiz 5,-264,C,C,gap-slow.c,judged,juiz3 (1),NO - Time limit exceeded,0
17,1,Juiz 5,-264,C,C,gap-wrong.c,judged,juiz3 (1),NO - Wrong answer,0
18,1,Juiz 3,-264,G,C,gap-ultra.c,judged,juiz3 (1),YES,1
19,1,Juiz 3,-264,G,C,gap-ultra-quadratic.c,judged,juiz3 (1),NO - Time limit exceeded,0
20,1,Juiz 3,-263,G,C++,fidel-ultra-nh.cpp,judged,juiz3 (1),NO - Time limit exceeded,0
21,1,Juiz 3,-263,F,C,gap-football.c,judged,juiz5 (1),YES,1
22,1,Juiz 3,-263,F,C++,football-leo.cpp,judged,juiz5 (1),YES,1
23,1,Juiz 5,-263,D,C++,fidel-twopaths-linear.cpp,judged,juiz5 (1),YES,1
24,1,Juiz 5,-262,D,C++,fidel-twopaths.cpp,judged,juiz5 (1),YES,1
25,1,Juiz 5,-261,D,C++,fidel-twopaths-slow.cpp,judged,juiz3 (1),NO - Time limit exceeded,0
26,1,Juiz 5,-260,E,C++,eleven_leo.cpp,judged,juiz3 (1),YES,1
27,1,Juiz 5,-260,E,C,gap-slow.c,judged,juiz3 (1),NO - Time limit exceeded,0
28,1,Juiz 3,-259,E,C++,eleven-pablo.cpp,judged,juiz2 (1),YES,1
