0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,User,Name,A,B,C,D,E,F,G,H,I,J,K,Total
1,team18,"Prático, Cícero e Heitor",1/63,,1/74,3/-,1/31,1/23,1/25,,3/215,1/180,,7 (651)
2,team33,Triforce,1/95,,1/60,4/-,1/46,1/15,1/33,7/-,,1/211,,6 (460)
3,team07,YaThreeSobas,1/105,,2/47,,1/68,1/14,1/42,2/-,,1/217,,6 (513)
4,team15,,1/136,,1/76,,1/35,1/12,2/49,1/-,,2/269,,6 (617)
5,team51,Posso ajudar?,3/154,,1/115,,1/75,1/16,1/29,,,2/255,,6 (704)
6,team47,Time Limit Exceeded,1/104,,5/227,1/-,1/54,1/13,1/17,,,1/243,,6 (738)
7,team20,Guerreiros da Poli,1/233,,1/120,,1/64,1/24,2/16,,2/-,2/260,,6 (757)
8,team31,Tampureção,1/85,,1/107,2/-,2/86,1/35,1/48,,,7/294,3/-,6 (795)
9,team36,EOL - End of List,3/109,,1/156,,2/141,1/29,1/49,3/-,,2/280,,6 (844)
10,team22,Merputação,1/107,4/-,1/77,3/-,1/28,1/11,1/43,2/-,,4/-,,5 (266)
11,team42,Deixa eu Sonhar,1/125,,2/99,5/-,1/37,1/17,3/25,,1/-,2/-,,5 (363)
12,team10,Veni Vidi Duci,2/120,,1/139,,1/66,1/11,1/28,4/-,,2/-,,5 (384)
13,team25,TopCoders,2/201,,1/97,1/-,1/44,1/12,1/24,,,,2/-,5 (398)
14,team04,All Your Balloons Are Belong To Us,1/142,,2/115,,3/71,1/31,1/23,,4/-,3/-,,5 (442)
15,team26,ICMC - SegFaults'R'us,2/245,,2/114,,1/36,1/13,1/26,,,10/-,,5 (474)
16,team11,Zoo,1/239,,3/189,1/-,2/61,1/12,1/23,9/-,,2/-,,5 (584)
17,team16,CompMel,3/283,,1/196,,1/77,1/12,1/50,,,2/-,,5 (658)
18,team12,Saulo Piroquinha,1/213,,1/201,,4/147,1/20,1/51,,,1/-,,5 (692)
19,team49,aniMOUSEs,4/286,,,,1/56,1/6,1/35,,,3/245,,5 (728)
20,team09,UEPG,3/280,,6/152,,2/104,1/6,1/41,,,1/-,,5 (743)
21,team44,Not a Name,3/-,,2/118,,1/49,1/13,3/60,1/-,,1/-,,4 (300)
22,team29,WithBitAction,3/184,,1/-,,1/41,1/21,1/33,,,,,4 (319)
23,team06,"Boa noite, e bom sort();",1/177,,,,1/89,1/13,2/43,,,2/-,3/-,4 (342)
24,team01,Omega,4/-,,1/196,,1/61,1/11,3/41,,,,,4 (349)
25,team39,Abaçaiados,3/-,,,,2/88,1/34,1/18,,,3/244,,4 (444)
26,team41,roflcopters,,,1/-,,1/28,1/32,1/60,,1/-,,,3 (120)
27,team13,Rispoli1,,,2/-,,1/59,1/17,2/33,,,2/-,,3 (129)
28,team50,Monkeys,3/-,,1/-,,1/81,1/16,1/38,,,,1/-,3 (135)
29,team08,FEI-IF,,,7/-,,1/89,1/31,1/40,,,,2/-,3 (160)
30,team35,King of Fighters Team,,,,,1/58,1/51,2/33,,,2/-,,3 (162)
31,team30,Not Found,,,3/-,,1/108,1/8,1/48,,,,,3 (164)
32,team02,Through the code and flames,1/-,,2/-,,1/86,1/30,1/51,,,,,3 (167)
33,team24,Java Boys,5/-,,1/-,,2/76,1/25,1/54,,,,,3 (175)
34,team03,AVL Team,,,5/-,,1/58,2/19,1/86,,,,,3 (183)
35,team32,Amazonas Info,,,4/-,,1/103,1/22,2/60,,,,3/-,3 (205)
36,team05,ReLaX,5/-,,3/-,,2/64,1/23,3/70,,,3/-,,3 (217)
37,team21,Balões++,,,,,2/147,1/25,2/85,,,,,3 (297)
38,team34,Sr. Linux,10/-,,,,1/121,1/95,5/67,,,,,3 (363)
39,team43,TAE,1/-,,,,4/198,1/23,3/46,4/-,,,,3 (367)
40,team48,ZyonBoys,,,4/-,,3/143,1/22,3/130,,,,,3 (375)
41,team14,UNIFESO_THAUMA,,,,,1/124,1/20,4/217,,,,,3 (421)
42,team40,THE SOUND OF SILENCE,1/-,,3/-,,1/163,1/34,4/208,2/-,,,1/-,3 (465)
43,team28,POG,,,1/-,,2/238,1/82,3/127,,,,,3 (507)
44,team38,GoGo40,4/265,,,,2/232,1/29,14/-,,,,,3 (606)
45,team23,Bugs Life,,,4/-,,1/186,3/143,10/233,,,,,3 (782)
46,team37,Fatal Fury Team,1/-,,2/-,,4/-,1/27,2/67,,,,,2 (114)
47,team17,BRUTE FORCE,,,,,5/-,1/20,4/59,6/-,,,1/-,2 (139)
