#,User,Name,A,B,C,D,F,G,H,I,J,K,Total,A_pen,B_pen,C_pen,D_pen,F_pen,G_pen,H_pen,I_pen,J_pen,K_pen
1,teamccl2/1,[CCL] Rumpelstiltskin,1/6,1/20,1/195,1/124,1/9,1/116,2/53,1/161,2/159,1/125,10 (1008),6,20,195,124,9,116,53,161,159,125
1,teambr21/1,[UFPE] 0xE,1/5,2/123,1/302,1/37,2/12,1/278,1/172,2/-,2/155,1/145,9 (1289),5,123,302,37,12,278,172,,155,145
2,teamccl7/1,[CCL] Maluquise,1/11,2/155,1/284,1/34,1/15,6/221,1/60,2/-,2/207,1/180,9 (1307),11,155,284,34,15,221,60,,207,180
2,teambr34/1,[UNICAMP] Veni Vidi Codi,1/5,1/278,,1/125,1/11,1/248,2/208,2/154,1/66,3/185,9 (1360),5,278,,125,11,248,208,154,66,185
3,teambr24/1,[UFBA] Robério e Seu Teclado,1/5,1/163,,1/108,1/14,,2/196,1/271,1/113,1/70,8 (960),5,163,,108,14,,196,271,113,70
4,teambr17/1,[UFPE] Wickaninnish,1/9,1/174,1/267,1/123,1/23,3/-,3/114,,1/138,3/202,8 (1130),9,174,267,123,23,,114,,138,202
5,teambr13/1,[UNIFEI] Epic Sax Guys,1/6,1/257,,1/121,1/15,14/-,1/283,2/218,2/186,1/61,8 (1187),6,257,,121,15,,283,218,186,61
3,teamccl3/1,[CCL] Absurdo Clássico e Fulano,1/15,1/37,,1/248,1/25,2/184,1/319,,1/268,1/204,8 (1320),15,37,,248,25,184,319,,268,204
4,teamccl12/1,[CCL] In rand() we trust!,1/15,1/71,,1/240,4/45,4/305,1/206,,1/255,1/190,8 (1447),15,71,,240,45,305,206,,255,190
6,teambr23/1,[UFCG] !xor&!,1/8,2/268,,2/150,1/15,2/-,3/265,3/293,2/179,2/140,8 (1478),8,268,,150,15,,265,293,179,140
5,teamccl5/1,[CCL] Veterans Edition,1/6,2/49,,1/165,1/18,,1/126,6/-,1/129,1/116,7 (629),6,49,,165,18,,126,,129,116
7,teambr46/1,[UFRN] Ginga com Tapioca,1/5,1/208,,1/117,1/16,,1/40,4/-,2/141,4/256,7 (863),5,208,,117,16,,40,,141,256
8,teambr18/1,[UFRJ] Esse é meu time,1/7,5/278,,1/139,2/20,1/-,1/118,,1/159,1/219,7 (1040),7,278,,139,20,,118,,159,219
9,teambr43/1,[UFG] Where are the monkeys?,2/8,1/322,,1/139,2/33,1/255,2/-,,2/182,2/149,7 (1168),8,322,,139,33,255,,,182,149
10,teambr22/1,[IME] Lorem Ipsum,1/11,4/317,,1/189,1/16,,4/278,,1/182,5/322,7 (1515),11,317,,189,16,,278,,182,322
11,teambr10/1,[USP] Cadê o Baiano?,1/6,1/236,,1/115,1/15,2/-,,4/-,1/163,1/120,6 (655),6,236,,115,15,,,,163,120
12,teambr38/1,[ITA] Fast BIRL Transform,1/8,3/-,,1/67,1/16,,2/165,,3/202,3/289,6 (847),8,,,67,16,,165,,202,289
13,teambr48/1,[DPI-UFV] Grafo de Botas,2/11,1/154,,2/157,3/33,,4/-,,2/197,1/222,6 (874),11,154,,157,33,,,,197,222
6,teamccl6/1,[CCL] A Fumada de Fourier,1/10,,,1/62,1/19,,3/322,,1/207,1/286,6 (946),10,,,62,19,,322,,207,286
14,teambr11/1,[UnB/FGA] Teorema de Offson,1/8,1/-,,1/152,2/22,,3/287,,1/136,2/301,6 (986),8,,,152,22,,287,,136,301
15,teambr60/1,[UFMG] Stenio Garcia,2/13,1/318,,1/155,1/21,,5/-,,4/220,3/142,6 (989),13,318,,155,21,,,,220,142
16,teambr27/1,[UnB] Turkeys,1/9,1/314,1/-,2/171,1/13,,2/-,,1/149,3/300,6 (1016),9,314,,171,13,,,,149,300
17,teambr26/1,[UFRN] Bota mais um aí,2/6,2/-,,1/113,2/34,,4/272,,1/150,7/248,6 (1043),6,,,113,34,,272,,150,248
18,teambr7/1,[URI-Erechim] URI Luminatti,1/6,1/302,,6/205,1/16,,1/-,,1/236,1/248,6 (1113),6,302,,205,16,,,,236,248
7,teamccl4/1,[CCL] santjuan's team,1/13,1/65,,4/-,1/18,3/-,1/117,,,1/165,5 (378),13,65,,,18,,117,,,165
19,teambr33/1,[USP-São Carlos] A Viagem de Shi Hero,1/4,,,1/122,1/27,,4/-,,1/113,1/180,5 (446),4,,,122,27,,,,113,180
20,teambr6/1,[UNIOESTE] Ops! Solução Trivial,1/6,1/-,,1/126,2/16,3/-,3/-,,1/204,1/119,5 (491),6,,,126,16,,,,204,119
21,teambr31/1,[INATEL] stormtroop3rs,1/6,,,2/153,1/24,,4/-,,1/166,1/254,5 (623),6,,,153,24,,,,166,254
22,teambr3/1,[USP-São Carlos] Q,1/9,5/-,,1/221,1/17,,2/184,,1/175,4/-,5 (626),9,,,221,17,,184,,175,
8,teamccl11/1,[CCL] Ez Game Ez Life,1/4,1/147,,1/172,1/20,,,,2/-,2/279,5 (642),4,147,,172,20,,,,,279
23,teambr54/1,[UFSCar-Sorocaba] Knights of Nlogonia,1/4,,,3/179,1/16,,,,2/298,1/153,5 (710),4,,,179,16,,,,298,153
9,teamccl8/1,[CCL] Nuclear Coders,1/15,,,1/50,2/28,,,,3/211,,4 (364),15,,,50,28,,,,211,
24,teambr57/1,[UFU] Medalha++,1/6,,,1/145,1/17,,,,1/200,3/-,4 (368),6,,,145,17,,,,200,
25,teambr12/1,[UECE] Pokecode Go,1/6,,,1/139,1/25,1/-,3/-,,2/-,3/173,4 (383),6,,,139,25,,,,,173
26,teambr20/1,[UTFPR-PG] Bug Busters,1/6,,,1/208,1/15,,1/-,,2/143,6/-,4 (392),6,,,208,15,,,,143,
27,teambr29/1,[UFSCar] vai_na.sort();,1/6,,,1/70,2/29,,2/289,,2/-,4/-,4 (434),6,,,70,29,,289,,,
28,teambr37/1,[FEI] Instinct,1/26,6/-,,1/140,2/23,,,,2/213,,4 (442),26,,,140,23,,,,213,
29,teambr49/1,[UFPR] NomeProvisorioTrypanossoMestre,2/9,,,1/164,1/16,,,,1/287,6/-,4 (496),9,,,164,16,,,,287,
30,teambr4/1,[UNITAU] Maledictus Avus Pepe,1/5,,,1/154,1/15,,3/-,,6/281,10/-,4 (555),5,,,154,15,,,,281,
31,teambr2/1,[UFT] Valar Programmis,1/9,,,3/199,2/24,,8/-,,1/-,4/275,4 (627),9,,,199,24,,,,,275
32,teambr35/1,[UFPI] CAFEÍNA OVERFLOW,1/9,,,1/236,1/19,1/-,1/-,,5/320,,4 (664),9,,,236,19,,,,320,
33,teambr55/1,[FATEC-São Paulo] Xtreme Go Horse Oriented,1/8,2/-,,1/259,3/51,,1/-,,1/316,1/-,4 (674),8,,,259,51,,,,316,
10,teamccl13/1,[CCL] Cabralgoritmo,1/10,,,1/120,1/32,,10/-,,1/-,,3 (162),10,,,120,32,,,,,
34,teambr5/1,[UDESC] Pollos Hermanos,1/8,,,1/152,1/16,,3/-,,1/-,,3 (176),8,,,152,16,,,,,
35,teambr44/1,[FACOM-UFMS] Maze Coders,2/10,1/-,,1/137,1/29,,5/-,,3/-,1/-,3 (196),10,,,137,29,,,,,
36,teambr30/1,[IFPB-JP] e-Coders,1/6,,,1/174,1/22,,,,1/-,1/-,3 (202),6,,,174,22,,,,,
37,teambr52/1,[IFCE] O importante é não zerar!,1/9,,,1/145,2/34,,,,,,3 (208),9,,,145,34,,,,,
38,teambr50/1,[Ceunes-UFES] TLE,2/8,,,1/154,2/26,1/-,8/-,,1/-,1/-,3 (228),8,,,154,26,,,,,
39,teambr58/1,[CEFET-MG] Ceferberus,1/6,,,2/167,2/24,1/-,,,3/-,2/-,3 (237),6,,,167,24,,,,,
11,teamccl10/1,[CCL] Never Lucky,1/6,6/-,,1/224,1/14,,1/-,,11/-,1/-,3 (244),6,,,224,14,,,,,
40,teambr56/1,[UFPel] Ta Serto,1/9,,,1/219,1/22,,,,,1/-,3 (250),9,,,219,22,,,,,
41,teambr19/1,[UESB] Ursos sem Curso,1/10,,,1/198,1/47,1/-,,,2/-,3/-,3 (255),10,,,198,47,,,,,
12,teamccl9/1,[CCL] VERÃO O ANO TODO,1/5,,,1/241,1/20,,,,3/-,1/-,3 (266),5,,,241,20,,,,,
42,teambr39/1,[UFFS] AKM,2/9,,,1/210,3/21,,4/-,,2/-,,3 (300),9,,,210,21,,,,,
43,teambr9/1,[UERJ] XOR,1/15,,,1/240,2/29,1/-,2/-,,1/-,3/-,3 (304),15,,,240,29,,,,,
44,teambr45/1,[IFSULMG-Muzambinho] Flecha no Joelho,2/11,,,2/230,1/24,,,,1/-,2/-,3 (305),11,,,230,24,,,,,
45,teambr42/1,[UNOESTE] Supermain Returns,1/15,,,1/267,1/24,,,,1/-,2/-,3 (306),15,,,267,24,,,,,
13,teamccl14/1,[CCL] Queijo com goiabada,4/46,5/-,,1/168,1/32,,1/-,,,3/-,3 (306),46,,,168,32,,,,,
46,teambr14/1,[UFU-Monte Carmelo] Bit Please,1/7,,,,4/47,,,,1/227,6/-,3 (341),7,,,,47,,,,227,
