0,1,2,3,4,5,6,7,8,9,10,11,12
Users x Problems,A,B,C,D,E,F,G,H,I,J,Total,Accepted
[FATEC-Mogi] Já Chegou o Disco Voador,0,0,0,1 (4%),0,0,0,1 (4%),22 (92%),0,24,2 (8%)
[UNIMONTES] Thundercats,0,0,9 (69%),2 (15%),0,0,0,1 (8%),1 (8%),0,13,2 (15%)
[FACOMUFU] Chinelada na Orelha,0,0,1 (25%),1 (25%),0,0,0,1 (25%),1 (25%),0,4,4 (100%)
[IME-USP] ASA,0,0,3 (27%),1 (9%),1 (9%),0,0,1 (9%),1 (9%),4 (36%),11,4 (36%)
[FATEC-SJC] DEBUG,0,0,0,1 (17%),0,0,0,1 (17%),4 (67%),0,6,2 (33%)
[UFPI] Dont Care,0,0,0,1 (17%),0,0,0,1 (17%),4 (67%),0,6,2 (33%)
[UNIOESTE-Cascavel] Não Entre em Pânico,0,0,0,2 (17%),0,0,0,1 (8%),9 (75%),0,12,2 (17%)
[UDESC] Spanish Inquisition,0,0,3 (43%),1 (14%),0,0,0,1 (14%),2 (29%),0,7,5 (71%)
[DCC-UFRJ] using namespace none;,6 (27%),0,1 (5%),1 (5%),8 (36%),0,0,1 (5%),1 (5%),4 (18%),22,5 (23%)
[UNIARARAS] Grupo Gama,0,0,0,1 (6%),0,0,0,1 (6%),14 (88%),0,16,2 (13%)
[UFRN] Absurdo Clássico - Agora Vai!,3 (38%),0,1 (13%),1 (13%),0,0,0,1 (13%),1 (13%),1 (13%),8,4 (50%)
[UFPR] Berro Trypanossomático,0,0,3 (19%),1 (6%),0,0,8 (50%),1 (6%),3 (19%),0,16,5 (31%)
[POLI-USP] Vruum,0,0,1 (13%),1 (13%),2 (25%),0,0,1 (13%),1 (13%),2 (25%),8,5 (63%)
[UFMG] UFMG In rand() we trust!,14 (70%),0,1 (5%),1 (5%),0,0,0,1 (5%),1 (5%),2 (10%),20,5 (25%)
[UNICAMP] PhD na área;,0,0,1 (5%),1 (5%),7 (35%),0,5 (25%),2 (10%),1 (5%),3 (15%),20,4 (20%)
[UNILINS] Programação Orientada a Balões,0,0,4 (50%),2 (25%),0,0,0,1 (13%),1 (13%),0,8,2 (25%)
[UFSC] Gargamels Team,0,0,1 (17%),1 (17%),0,2 (33%),0,1 (17%),1 (17%),0,6,3 (50%)
[UNIVASF] PiratasDoValeDoSãoFrancisco,0,0,0,1 (14%),0,0,0,1 (14%),5 (71%),0,7,2 (29%)
[UFSM] char *alho;,0,0,0,3 (33%),0,0,0,2 (22%),3 (33%),1 (11%),9,2 (22%)
[UFSCar] PonteirosReversos,0,0,0,1 (20%),0,0,0,1 (20%),3 (60%),0,5,2 (40%)
[UFMS] Largest Living Rodent,0,0,0,1 (6%),0,0,6 (33%),1 (6%),7 (39%),3 (17%),18,2 (11%)
[ICMC-USP] I Can Haz Balloonz,0,0,1 (7%),1 (7%),10 (71%),0,0,1 (7%),1 (7%),0,14,4 (29%)
