0,1,2,3,4,5,6,7
Problems x Answers,NO - Compilation error,NO - File name mismatch,NO - Runtime error,NO - Time limit exceeded,NO - Wrong answer,YES,Total
A,1 (1%),0,9 (13%),4 (6%),38 (56%),16 (24%),68
B,1 (4%),0,1 (4%),11 (48%),10 (43%),0,23
C,0,1 (2%),0,1 (2%),3 (7%),36 (88%),41
D,0,0,0,2 (11%),8 (42%),9 (47%),19
E,1 (4%),0,0,4 (15%),15 (56%),7 (26%),27
F,0,0,2 (1%),20 (13%),82 (52%),54 (34%),158
G,1 (1%),0,3 (3%),13 (13%),67 (68%),15 (15%),99
H,0,0,0,1 (20%),4 (80%),0,5
I,0,0,0,0,8 (100%),0,8
J,1 (4%),0,1 (4%),0,16 (57%),10 (36%),28
