0,1,2,3,4,5,6,7
Problems x Answers,No - Compilation error,No - Incorrect output,No - Output format error,No - Runtime error,No - Time limit exceeded,YES,Total
A,0,10 (83%),0,1 (8%),0,1 (8%),12
B,0,0,0,0,0,0,0
C,1 (1%),60 (62%),0,1 (1%),5 (5%),30 (31%),97
D,0,31 (76%),0,3 (7%),5 (12%),2 (5%),41
E,0,17 (61%),0,0,9 (32%),2 (7%),28
F,2 (4%),14 (25%),0,4 (7%),29 (51%),8 (14%),57
G,2 (2%),42 (47%),5 (6%),8 (9%),4 (4%),29 (32%),90
H,0,26 (35%),0,0,0,48 (65%),74
I,0,53 (75%),0,2 (3%),4 (6%),12 (17%),71
J,0,4 (100%),0,0,0,0,4
