0,1,2,3,4,5,6,7,8,9,10,11,12
Users x Problems,A,B,C,D,E,F,G,H,I,J,Total,Accepted
IME-Atlântico,0,0,2 (17%),0,2 (17%),3 (25%),2 (17%),1 (8%),2 (17%),0,12,5 (42%)
UFSCoders,0,0,1 (8%),1 (8%),2 (15%),3 (23%),5 (38%),1 (8%),0,0,13,2 (15%)
UDESC 03 - KCT,0,0,1 (9%),0,0,3 (27%),6 (55%),1 (9%),0,0,11,3 (27%)
USJT 1,0,0,0,2 (29%),0,0,0,5 (71%),0,0,7,1 (14%)
FIPP/UNOESTE #1,0,0,0,0,1 (11%),0,4 (44%),4 (44%),0,0,9,1 (11%)
UniSantos #1,0,0,1 (33%),0,0,0,0,2 (67%),0,0,3,1 (33%)
CESUPA #3,3 (43%),0,0,0,2 (29%),0,0,2 (29%),0,0,7,0
ICMC-USP Animaniacs,0,0,1 (20%),0,0,0,3 (60%),1 (20%),0,0,5,3 (60%)
UFMG aniMOUSEs,0,0,3 (33%),0,0,0,5 (56%),1 (11%),0,0,9,2 (22%)
UFS Anuncie Aqui,0,0,1 (7%),0,0,2 (13%),3 (20%),1 (7%),8 (53%),0,15,4 (27%)
IBILCE/UNESP Até o fim,0,0,4 (40%),0,0,1 (10%),4 (40%),1 (10%),0,0,10,3 (30%)
UFC - AVL Team,0,0,2 (50%),0,0,0,1 (25%),1 (25%),0,0,4,3 (75%)
ITA - Baiamahrim,0,0,9 (28%),0,0,10 (31%),2 (6%),1 (3%),10 (31%),0,32,3 (9%)
"UECE - Camila, Tainara, Leonilia",0,0,1 (6%),0,0,3 (18%),3 (18%),1 (6%),9 (53%),0,17,4 (24%)
Unioeste Capim Canela,0,0,0,0,0,0,0,2 (100%),0,0,2,1 (50%)
UERJ - Coders,4 (33%),0,2 (17%),1 (8%),0,0,3 (25%),2 (17%),0,0,12,3 (25%)
UnB Crazy Programming Turkeys,0,0,2 (25%),2 (25%),0,0,1 (13%),1 (13%),2 (25%),0,8,2 (25%)
UFMA debug is on the table,0,0,2 (25%),1 (13%),0,0,1 (13%),3 (38%),1 (13%),0,8,3 (38%)
PUC Rio NósNumSamba,0,0,0,0,0,1 (25%),2 (50%),1 (25%),0,0,4,2 (50%)
UECE - Die aphthe schmerzen,0,0,1 (10%),0,0,3 (30%),3 (30%),1 (10%),2 (20%),0,10,4 (40%)
UEMS É nóis na fita,0,0,0,3 (50%),0,0,2 (33%),1 (17%),0,0,6,1 (17%)
IME-Ártico,0,0,1 (25%),1 (25%),0,0,0,1 (25%),1 (25%),0,4,3 (75%)
Uninove Eq. Memorial da América Latina,0,0,1 (14%),0,0,0,0,6 (86%),0,0,7,0
UNAES Exception Error,0,0,0,0,0,0,0,1 (50%),0,1 (50%),2,1 (50%)
Unicamp GAP,0,0,3 (15%),1 (5%),5 (25%),3 (15%),1 (5%),3 (15%),4 (20%),0,20,5 (25%)
FIC GnuMakers,0,0,0,0,0,0,0,0,0,0,0,0
UNIP TriForce,3 (50%),0,0,2 (33%),0,0,0,1 (17%),0,0,6,1 (17%)
ICMC-USP IfThenElse,0,0,1 (14%),1 (14%),0,0,1 (14%),1 (14%),3 (43%),0,7,2 (29%)
UFCG Izaque's Team,1 (11%),0,2 (22%),0,0,0,0,1 (11%),5 (56%),0,9,2 (22%)
UFRN JumenTeam,0,0,2 (33%),0,0,0,3 (50%),1 (17%),0,0,6,3 (50%)
UNIPAM Killers,0,0,0,0,1 (50%),0,0,1 (50%),0,0,2,1 (50%)
PUC MG The Bugs on the Table,0,0,1 (50%),0,0,0,0,1 (50%),0,0,2,1 (50%)
DCC-UFRJ NOP,0,0,6 (40%),0,0,2 (13%),2 (13%),3 (20%),2 (13%),0,15,5 (33%)
Unicamp NP-Rosa-Choque,0,0,6 (40%),0,3 (20%),0,3 (20%),1 (7%),2 (13%),0,15,4 (27%)
UFES NULL,0,0,2 (25%),0,0,0,2 (25%),1 (13%),3 (38%),0,8,3 (38%)
IME-USP O fim dos pesquisadores,0,0,1 (7%),2 (14%),0,7 (50%),1 (7%),1 (7%),2 (14%),0,14,3 (21%)
FURG OMEGA,0,0,3 (33%),0,0,4 (44%),1 (11%),1 (11%),0,0,9,3 (33%)
ITA - O que é Overflow?,1 (6%),0,2 (11%),9 (50%),1 (6%),2 (11%),1 (6%),1 (6%),1 (6%),0,18,8 (44%)
URI-Erechim Pampa Coders,0,0,4 (67%),0,0,0,0,2 (33%),0,0,6,1 (17%)
UFPE PC JAM,0,0,2 (25%),0,0,1 (13%),4 (50%),1 (13%),0,0,8,2 (25%)
UNIFEI Plante queijo na monarquia,0,0,1 (14%),3 (43%),1 (14%),0,1 (14%),1 (14%),0,0,7,2 (29%)
"PUC Rio Cnuth, Dijkstra & Edmonds",0,0,2 (17%),0,0,7 (58%),1 (8%),1 (8%),1 (8%),0,12,4 (33%)
UFMG ROFLcopters,0,0,1 (20%),0,0,0,2 (40%),2 (40%),0,0,5,2 (40%)
UFRGS Submit & Run!,0,0,1 (13%),3 (38%),0,0,3 (38%),1 (13%),0,0,8,2 (25%)
UPE The POGgers,0,0,0,0,0,0,0,1 (100%),0,0,1,1 (100%)
UFV They tell and They tell,0,0,6 (67%),0,0,0,2 (22%),1 (11%),0,0,9,2 (22%)
UFPR Triforce,0,0,4 (17%),4 (17%),8 (35%),1 (4%),2 (9%),1 (4%),3 (13%),0,23,4 (17%)
UFRGS Veni Vidi Duci,0,0,2 (22%),0,1 (11%),0,2 (22%),1 (11%),3 (33%),0,9,3 (33%)
IME-USP Who wants to code forever?,0,0,1 (7%),2 (13%),1 (7%),1 (7%),1 (7%),1 (7%),5 (33%),3 (20%),15,7 (47%)
UFMS Xiforímpula,0,0,7 (47%),1 (7%),0,0,6 (40%),1 (7%),0,0,15,3 (20%)
DCC-UFRJ YEP,0,0,2 (25%),2 (25%),0,0,1 (13%),1 (13%),2 (25%),0,8,3 (38%)
