0,1,2,3,4,5,6,7,8,9,10,11,12
Users x Problems,A,B,C,D,E,F,G,H,I,J,Total,Accepted
[BR/UNILINS] #kabumba,0,0,0,0,0,1 (100%),0,0,0,0,1,1 (100%)
[BR/UFRJ] #YesWeCan read you mail,1 (9%),0,1 (9%),3 (27%),0,2 (18%),4 (36%),0,0,0,11,6 (55%)
[BR/UFPE] =(,1 (11%),0,1 (11%),1 (11%),2 (22%),1 (11%),2 (22%),0,0,1 (11%),9,6 (67%)
"[BR/UNITAU] 2 de porao, 1 de lab",3 (43%),0,0,0,0,3 (43%),1 (14%),0,0,0,7,1 (14%)
[BR/FATEC-Sorocaba] 2B||!2B,2 (25%),0,2 (25%),0,1 (13%),3 (38%),0,0,0,0,8,2 (25%)
[BR/IFCE] ADA,0,0,0,0,0,6 (86%),1 (14%),0,0,0,7,1 (14%)
[BR/UFV] admin admin,0,2 (40%),1 (20%),0,0,2 (40%),0,0,0,0,5,2 (40%)
[BR/Unoeste] AG2,0,0,0,0,0,7 (100%),0,0,0,0,7,1 (14%)
[BR/USP-Sao Carlos] aHHHH entaum tah baoum,1 (25%),0,1 (25%),0,0,1 (25%),1 (25%),0,0,0,4,2 (50%)
[BR/Unicamp] All in,5 (36%),0,1 (7%),0,0,1 (7%),0,0,0,7 (50%),14,4 (29%)
[UFPI] Alliance,0,2 (33%),0,0,1 (17%),3 (50%),0,0,0,0,6,1 (17%)
[BR/FPU] Avengers,0,0,1 (33%),0,0,1 (33%),1 (33%),0,0,0,3,0
[BR/UFPR] Ballong Misto de Trypanossoma,3 (19%),0,1 (6%),5 (31%),0,1 (6%),6 (38%),0,0,0,16,5 (31%)
[BR/UFS] Bateu ai?,1 (33%),0,1 (33%),0,0,1 (33%),0,0,0,0,3,3 (100%)
[BR/Unis] BCC A,0,0,1 (6%),0,0,15 (88%),1 (6%),0,0,0,17,1 (6%)
[BR/UFRGS] BDR,1 (11%),0,1 (11%),0,0,3 (33%),4 (44%),0,0,0,9,2 (22%)
[BR/USP] Bitelo,2 (14%),2 (14%),1 (7%),2 (14%),2 (14%),2 (14%),1 (7%),1 (7%),0,1 (7%),14,7 (50%)
[BR/USP] Bpyym,1 (10%),1 (10%),1 (10%),0,2 (20%),1 (10%),2 (20%),0,0,2 (20%),10,5 (50%)
"[BR/UFCG] Calma pessoal, calma...",1 (7%),0,1 (7%),1 (7%),7 (50%),1 (7%),2 (14%),0,0,1 (7%),14,5 (36%)
[BR/UFPA] ClubeDosCanalhas,0,2 (50%),0,0,0,2 (50%),0,0,0,0,4,1 (25%)
[BR/UFCG] Coders Gonna Code,3 (38%),0,1 (13%),1 (13%),0,1 (13%),2 (25%),0,0,0,8,4 (50%)
[BR/UFU] Coelhos de dentes afiados,2 (18%),2 (18%),1 (9%),0,0,5 (45%),1 (9%),0,0,0,11,2 (18%)
[BR/ITA] CPF na nota?,1 (11%),0,1 (11%),0,0,1 (11%),2 (22%),0,0,4 (44%),9,4 (44%)
[BR/UFSCar] Deggub,0,2 (50%),1 (25%),0,0,1 (25%),0,0,0,0,4,2 (50%)
[BR/FATEC-Mogi] EQUIPISTOLA,0,0,0,0,0,1 (50%),1 (50%),0,0,0,2,1 (50%)
[BR/UFES] ETROPUS,2 (33%),0,1 (17%),0,0,2 (33%),1 (17%),0,0,0,6,2 (33%)
[BR/Facit] Facit 1,2 (14%),0,0,0,0,9 (64%),3 (21%),0,0,0,14,0
[BR/UNIVASF] Fire s Determination,1 (25%),0,0,0,0,2 (50%),1 (25%),0,0,0,4,1 (25%)
[BR/UPF] Funcionalidade Aleatoria,0,1 (33%),0,0,0,2 (67%),0,0,0,0,3,1 (33%)
[BR/UFSC] Gargamel s Team,0,2 (50%),0,0,0,2 (50%),0,0,0,0,4,1 (25%)
[BR/UECE] Gatinhos da UECE,5 (56%),2 (22%),0,0,0,2 (22%),0,0,0,0,9,1 (11%)
[BR/UFRJ] Hidden Markov Programmers,2 (12%),0,1 (6%),0,1 (6%),2 (12%),9 (53%),0,2 (12%),0,17,4 (24%)
[BR/UFMT-Araguaia] HUEHUE BR,0,2 (40%),0,0,0,3 (60%),0,0,0,0,5,1 (20%)
[BR/Unicamp] I Triple Dare You,2 (13%),0,1 (6%),1 (6%),3 (19%),1 (6%),3 (19%),0,0,5 (31%),16,7 (44%)
[BR/UFMG] In rand() we trust!,1 (7%),0,1 (7%),0,1 (7%),2 (13%),10 (67%),0,0,0,15,3 (20%)
[BR/UFMS] k-pivara,0,0,1 (50%),0,0,1 (50%),0,0,0,0,2,2 (100%)
[BR/UFRN] Kamikaze,1 (20%),0,1 (20%),0,0,3 (60%),0,0,0,0,5,2 (40%)
[BR/IFTM] Modus Ponens Malditos,0,0,0,0,0,4 (80%),1 (20%),0,0,0,5,1 (20%)
[BR/UFG] Monkeys,0,0,1 (17%),0,1 (17%),2 (33%),1 (17%),0,0,1 (17%),6,5 (83%)
[BR/UTFPR] MVVC,0,0,0,0,0,6 (100%),0,0,0,0,6,0
[BR/UFPE] Nao e so pelos 20 minutos,1 (10%),0,1 (10%),2 (20%),3 (30%),1 (10%),1 (10%),0,0,1 (10%),10,7 (70%)
