0,1,2,3,4,5,6,7,8,9,10,11,12,13
Users x Problems,A,B,C,D,E,F,G,H,I,J,K,Total,Accepted
[UFRN] AbsurdoLimitExceeded,1 (6%),3 (19%),3 (19%),0,4 (25%),0,1 (6%),3 (19%),1 (6%),0,0,16,6 (38%)
[UFPR] Alwaysgood's team,1 (10%),2 (20%),1 (10%),0,0,0,4 (40%),1 (10%),1 (10%),0,0,10,6 (60%)
[USP] Arquiduque Andorinha,1 (8%),2 (17%),1 (8%),0,3 (25%),0,2 (17%),1 (8%),2 (17%),0,0,12,7 (58%)
[ITA] Assembly! Rroooaarr,1 (20%),1 (20%),0,0,0,0,1 (20%),1 (20%),1 (20%),0,0,5,5 (100%)
[UFS] Bateu Ai?,1 (14%),1 (14%),2 (29%),0,0,0,0,2 (29%),1 (14%),0,0,7,4 (57%)
[UFMT] Bits Pantaneiro,2 (25%),0,5 (63%),0,0,0,0,1 (13%),0,0,0,8,2 (25%)
[UFBA] Bread For (re)Search,1 (13%),0,3 (38%),0,0,0,1 (13%),1 (13%),2 (25%),0,0,8,5 (63%)
[FACCAT] bytemen,1 (9%),0,4 (36%),0,0,0,0,6 (55%),0,0,0,11,1 (9%)
[UFRJ] Cachorrada do Fundao,1 (7%),7 (47%),1 (7%),0,0,0,3 (20%),1 (7%),2 (13%),0,0,15,5 (33%)
[UESB] Chico,1 (14%),0,4 (57%),0,0,0,0,2 (29%),0,0,0,7,1 (14%)
[UFPE] Code Fu Pandas,1 (6%),2 (12%),2 (12%),0,3 (18%),3 (18%),3 (18%),1 (6%),2 (12%),0,0,17,6 (35%)
[UFRGS] Compilation Error,1 (8%),1 (8%),1 (8%),0,0,0,3 (25%),1 (8%),4 (33%),0,1 (8%),12,5 (42%)
[ITA] CPF na nota?,1 (17%),1 (17%),1 (17%),0,0,0,1 (17%),1 (17%),1 (17%),0,0,6,6 (100%)
[UFSCAR] Deggub,1 (6%),5 (29%),2 (12%),0,0,0,6 (35%),1 (6%),2 (12%),0,0,17,5 (29%)
[UEFS] Don't care,1 (50%),0,0,0,0,0,0,1 (50%),0,0,0,2,2 (100%)
[UFPI] Don't Care,1 (25%),0,0,0,0,0,0,1 (25%),2 (50%),0,0,4,2 (50%)
[UNIFEI] Epic Sax Guys,1 (7%),1 (7%),1 (7%),0,3 (21%),0,5 (36%),1 (7%),2 (14%),0,0,14,5 (36%)
