0,1,2,3,4,5,6,7,8,9,10,11,12,13
Users x Problems,A,B,C,D,E,F,G,H,I,J,K,Total,Accepted
[UFRJ] /\\\\ nerds - \\\\/ noobs,3 (18%),4 (24%),5 (29%),1 (6%),1 (6%),0,0,2 (12%),1 (6%),0,0,17,5 (29%)
[FAJ] #gcc2015,2 (40%),0,0,2 (40%),0,0,0,0,1 (20%),0,0,5,3 (60%)
[UFG] 11 baloes e 3 segredos,1 (17%),0,0,1 (17%),1 (17%),0,0,1 (17%),1 (17%),0,1 (17%),6,4 (67%)
[UNOESC - Chapeco] A_Se_Fosse_Delphi,2 (50%),0,0,1 (25%),0,0,0,0,1 (25%),0,0,4,2 (50%)
[UFCG] Abella e as feras,2 (15%),2 (15%),1 (8%),2 (15%),1 (8%),1 (8%),1 (8%),1 (8%),1 (8%),0,1 (8%),13,10 (77%)
[UFRN] Absurdo Classico: Missao Final,1 (6%),2 (13%),0,1 (6%),5 (31%),0,0,6 (38%),1 (6%),0,0,16,6 (38%)
[UFFS] AKM,3 (30%),0,0,1 (10%),5 (50%),0,0,0,1 (10%),0,0,10,3 (30%)
[UFSCar] AteAmanha,1 (11%),0,0,3 (33%),0,0,0,4 (44%),1 (11%),0,0,9,3 (33%)
[UFPE] Ballions,3 (18%),2 (12%),1 (6%),1 (6%),1 (6%),0,2 (12%),5 (29%),1 (6%),0,1 (6%),17,9 (53%)
[ITA] batata,2 (25%),0,0,1 (13%),1 (13%),0,0,3 (38%),1 (13%),0,0,8,5 (63%)
[UFS] Bateu ai?,2 (40%),0,0,1 (20%),1 (20%),0,0,0,1 (20%),0,0,5,4 (80%)
[UNOESTE] BatUnoeste,2 (22%),0,0,2 (22%),1 (11%),0,0,3 (33%),1 (11%),0,0,9,3 (33%)
[UNICAMP] BibleThump,2 (10%),2 (10%),3 (14%),1 (5%),1 (5%),0,4 (19%),4 (19%),1 (5%),0,3 (14%),21,7 (33%)
[USP - Sao Carlos] Bob,2 (9%),1 (5%),1 (5%),1 (5%),1 (5%),1 (5%),10 (45%),3 (14%),1 (5%),0,1 (5%),22,12 (55%)
[UNIVASF] BruteForceOrientedProgramming,3 (30%),0,0,1 (10%),0,0,0,4 (40%),2 (20%),0,0,10,4 (40%)
[UTFPR] BugBusters,1 (13%),0,0,1 (13%),1 (13%),0,0,1 (13%),1 (13%),0,3 (38%),8,4 (50%)
[IFSULDEMINAS] C + ou -,2 (40%),0,0,2 (40%),0,0,0,0,1 (20%),0,0,5,2 (40%)
[URI - Erechim] URI Luminatti,3 (33%),0,0,1 (11%),1 (11%),0,0,3 (33%),1 (11%),0,0,9,4 (44%)
