0,1,2,3,4,5,6,7,8
Problems x Answers,NO - Compilation error,NO - Filename Mismatch,NO - Presentation error,NO - Runtime error,NO - Time limit exceeded,NO - Wrong answer,YES,Total
A,0,1 (1%),0,1 (1%),4 (4%),56 (51%),48 (44%),110
B,2 (4%),0,0,1 (2%),5 (9%),34 (64%),11 (21%),53
C,0,0,0,2 (8%),2 (8%),12 (50%),8 (33%),24
D,2 (2%),0,0,3 (2%),0,50 (41%),66 (55%),121
E,0,0,0,3 (4%),2 (3%),34 (51%),28 (42%),67
F,1 (3%),0,0,1 (3%),3 (10%),18 (62%),6 (21%),29
G,1 (2%),0,0,0,2 (4%),40 (70%),14 (25%),57
H,1 (1%),0,0,0,0,98 (82%),20 (17%),119
I,0,0,0,0,0,0,68 (100%),68
J,0,1 (13%),2 (25%),0,0,1 (13%),4 (50%),8
K,2 (5%),0,0,1 (2%),27 (63%),8 (19%),5 (12%),43
