Users x Problems,A,B,C,D,E,F,G,H,I,J,K,Total,Accepted
[UFRJ],3,4,5,1,1,0,0,2,1,0,0,17,5
[FAJ],2,0,0,2,0,0,0,0,1,0,0,5,3
[UFG],1,0,0,1,1,0,0,1,1,0,1,6,4
[UNOESC,2,0,0,1,0,0,0,0,1,0,0,4,2
[UFCG],2,2,1,2,1,1,1,1,1,0,1,13,10
[UFRN],1,2,0,1,5,0,0,6,1,0,0,16,6
[UFFS],3,0,0,1,5,0,0,0,1,0,0,10,3
[UFSCar],1,0,0,3,0,0,0,4,1,0,0,9,3
[UFPE],3,2,1,1,1,0,2,5,1,0,1,17,9
[ITA],2,0,0,1,1,0,0,3,1,0,0,8,5
[UFS],2,0,0,1,1,0,0,0,1,0,0,5,4
[UNOESTE],2,0,0,2,1,0,0,3,1,0,0,9,3
[UNICAMP],2,2,3,1,1,0,4,4,1,0,3,21,7
[USP,2,1,1,1,1,1,10,3,1,0,1,22,12
[UNIVASF],3,0,0,1,0,0,0,4,2,0,0,10,4
[UTFPR],1,0,0,1,1,0,0,1,1,0,3,8,4
[IFSULDEMINAS],2,0,0,2,0,0,0,0,1,0,0,5,2
[URI,3,0,0,1,1,0,0,3,1,0,0,9,4
[USP],1,0,0,1,1,0,5,3,1,0,0,12,4
[IFPB,3,0,0,2,0,0,0,0,1,0,16,22,3
[UFPA],0,0,0,4,0,0,0,0,1,0,0,5,2
[UFPB],3,0,0,5,0,0,0,1,1,0,0,10,3
[IFTM,1,0,0,1,0,0,0,0,1,0,0,3,2
[USJT],0,0,0,1,0,0,0,1,1,0,0,3,2
[UFSCar,1,0,0,3,1,0,0,0,1,0,0,6,4
[UERN],3,0,0,6,0,0,0,0,1,0,0,10,4
[UFV],1,5,0,1,3,0,0,0,1,0,0,11,4
[UNIFEI,1,5,1,1,1,0,0,4,1,0,0,14,5
[Faculdade,0,0,0,6,0,0,0,0,1,0,0,7,1
[UEFS],6,0,0,2,0,0,0,1,1,0,0,10,2
[UNICAMP],1,0,1,1,1,1,0,3,1,1,1,11,3
[UFMT,0,0,0,6,0,0,0,0,1,0,0,7,2
[IFNMG],1,0,0,2,0,3,0,1,1,0,0,8,2
[UFC],1,0,0,4,0,0,0,13,1,0,0,19,3
[UNITAU],1,1,0,1,1,0,0,4,1,0,2,11,4
[IBTA],0,0,0,1,0,0,0,0,1,0,0,2,2
[UFAL],0,0,0,1,0,4,0,0,1,0,3,9,2
[UFT],1,0,0,1,0,0,0,0,1,0,0,3,2
[UDESC],1,0,0,1,4,0,0,0,1,0,0,7,4
[UNIOESTE,1,0,0,2,1,0,0,1,1,0,0,6,4
[FATECSJC],1,2,0,1,0,1,0,0,1,0,0,6,2
[UFCG],2,0,0,2,5,0,0,2,1,0,0,12,4
[ITA],1,0,6,1,4,0,3,4,1,0,0,20,7
[UFMS,1,0,0,3,0,0,0,3,1,0,0,8,3
[FEI],0,0,0,5,0,4,0,4,1,0,0,14,2
[UFPI],2,0,0,1,5,0,0,2,1,0,0,11,4
[UFBA],1,1,1,1,1,1,5,2,1,0,1,15,13
[UFU],1,16,0,3,4,0,0,3,1,0,0,28,4
[INATEL],3,0,0,3,3,0,0,0,1,0,0,10,3
[USP],1,3,0,1,1,4,2,3,1,0,0,16,8
[UFPEL],2,0,0,1,1,0,0,2,1,0,0,7,5
[IME],1,0,2,1,0,0,0,2,1,0,0,7,4
[UFES],1,0,0,2,0,0,0,0,1,0,0,4,2
[UECE],1,1,0,2,1,0,0,3,1,0,3,12,4
[UFPE],2,1,1,1,1,3,1,1,1,2,1,15,11
[UnB],2,0,0,1,0,1,0,1,1,0,0,6,2
[UEA],0,0,0,1,0,0,0,0,1,0,0,2,2
[UFAM],0,0,0,3,1,0,0,0,1,0,0,5,2
[UFMG],2,3,0,1,2,0,2,7,1,0,0,18,7
[UFRGS],3,0,0,1,0,0,0,3,1,0,0,8,2
[UNIBALSAS],1,0,0,2,0,0,0,0,1,0,0,4,3
[IFTM,5,0,0,2,0,0,0,0,1,0,0,8,2
[CAFE2],1,0,0,1,1,0,0,0,1,0,0,4,3
[CAFE3],1,1,0,1,2,0,19,2,1,0,0,27,6
[CAFE3],6,0,0,1,0,0,0,0,1,0,5,13,3
[CAFE3],4,0,0,1,0,4,0,0,1,0,0,10,3
Cafe,1,1,1,1,1,1,3,3,1,5,1,19,13
