0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AnswersAnswers NO - Class name mismatch1NO - Compilation error6NO - Output format error3NO - Runtime error29NO - Time limit exceeded77NO - Wrong Language Choice2NO - Wrong answer316YES282,Answers,Answers,NO - Class name mismatch,1.0,NO - Compilation error,6.0,NO - Output format error,3.0,NO - Runtime error,29.0,NO - Time limit exceeded,77.0,NO - Wrong Language Choice,2.0,NO - Wrong answer,316.0,YES,282.0,
Answers,Answers,,,,,,,,,,,,,,,,,,
NO - Class name mismatch,1,,,,,,,,,,,,,,,,,,
NO - Compilation error,6,,,,,,,,,,,,,,,,,,
NO - Output format error,3,,,,,,,,,,,,,,,,,,
NO - Runtime error,29,,,,,,,,,,,,,,,,,,
NO - Time limit exceeded,77,,,,,,,,,,,,,,,,,,
NO - Wrong Language Choice,2,,,,,,,,,,,,,,,,,,
NO - Wrong answer,316,,,,,,,,,,,,,,,,,,
YES,282,,,,,,,,,,,,,,,,,,
