Users x Problems,A,B,C,D,E,F,G,H,I,J,K,L,M,Total,Accepted
Desistiu???,0,0,1,0,0,0,1,1,1,2,0,0,0,6,2
Tô,0,0,1,0,1,4,0,1,2,1,0,0,0,10,6
Choose,0,4,1,3,1,1,2,1,1,1,0,0,0,15,9
Wesley,0,0,5,0,3,0,0,1,5,0,0,0,0,14,4
YouShallNot.cpp,0,0,3,0,0,0,0,1,4,0,0,0,0,8,3
Skynet,0,0,2,0,0,0,0,1,7,0,0,0,0,10,2
Javainois,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1
Ceferberus,0,0,4,0,0,0,0,1,0,0,0,0,0,5,2
Simone,0,0,1,3,0,1,0,2,0,0,0,0,0,7,2
Dragon,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UNESP,0,0,14,0,0,0,0,1,0,0,0,0,0,15,1
ALT,0,1,1,2,1,2,3,1,3,2,0,0,5,21,9
Lorem,0,1,4,0,2,4,1,1,3,2,0,0,1,19,8
fuze,0,0,4,0,0,2,0,1,0,3,0,0,0,10,2
while(1),0,0,6,0,0,4,0,1,0,0,0,0,0,11,1
C,0,0,1,0,0,3,0,1,0,0,0,0,0,5,2
C-3PO,0,0,3,0,0,0,0,1,0,0,0,0,0,4,2
Trupe,0,7,2,0,1,1,0,1,1,0,0,0,8,21,9
O,0,0,1,0,0,3,0,1,0,0,0,0,0,5,2
C,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1
aBNT,0,0,4,0,0,0,0,1,0,0,0,0,0,5,2
vai_na.sort(),0,0,1,0,0,3,0,1,0,2,0,0,0,7,2
VDC,0,0,1,0,0,2,1,1,1,1,0,0,0,7,6
IRMÃO,0,0,0,0,0,1,0,4,0,0,0,0,0,5,1
Time,0,0,1,1,0,0,0,1,0,6,0,0,0,9,2
Algum,0,0,1,0,1,0,0,1,2,0,0,0,0,5,3
Cafeína,0,0,4,0,1,0,0,1,1,5,0,0,0,12,1
D_bug,0,0,7,0,0,0,0,1,0,0,0,0,0,8,1
Esse,0,1,1,0,2,2,1,1,1,1,0,0,1,11,8
NULL,0,0,5,0,0,0,0,1,1,0,0,0,0,7,1
Six,0,0,1,0,1,2,0,1,2,7,0,0,0,14,10
URI,0,0,2,0,1,4,0,1,2,4,0,0,0,14,5
Invictus,0,0,7,0,0,0,0,1,0,0,0,0,0,8,2
Teorema,0,2,1,0,1,1,0,1,3,2,0,0,0,11,7
#include,0,2,5,0,1,2,0,1,1,1,0,0,0,13,5
Teoria,0,0,1,0,0,5,0,1,2,0,0,0,0,9,3
Veteranos,0,2,5,0,1,2,1,1,2,1,0,0,0,15,7
Nome,0,0,3,0,1,0,0,1,0,0,0,0,0,5,2
O,0,0,2,0,2,0,0,1,0,0,0,0,0,5,2
100^o,0,0,7,0,1,2,0,1,1,1,0,0,0,13,4
Ops!,0,2,1,0,1,1,1,1,2,1,0,0,0,10,7
Turkeys,0,1,5,1,7,3,6,1,2,1,0,0,0,27,7
Na,0,0,4,0,0,0,0,1,0,0,0,0,0,5,1
¯\\_(,0,1,1,2,2,2,1,1,1,1,0,1,10,23,16
NUll,0,0,4,0,2,0,0,1,0,0,0,0,0,7,1
One,0,0,1,0,4,0,0,1,0,0,0,0,0,6,2
RALÔTIM,0,0,1,0,0,4,0,1,0,0,0,0,0,6,2
Ginga,3,2,1,0,1,2,1,1,1,1,0,0,0,13,8
Over9k,0,0,1,0,0,0,0,1,9,0,0,0,0,11,2
Bit,0,0,1,0,2,1,0,1,2,0,0,0,0,7,3
Cvaicomnois,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2
Access,0,0,1,0,2,1,0,1,0,0,0,0,0,5,2
Monkeys,0,1,1,0,3,1,1,1,1,0,0,0,0,9,7
Bira,0,0,1,0,1,3,0,1,5,1,0,0,0,12,3
Trei,0,1,1,4,1,1,1,1,3,1,0,0,6,20,9
CalopsITA,0,1,4,0,2,4,3,1,3,1,0,0,4,23,8
CEFETIM,0,1,1,2,3,4,0,1,0,0,0,0,0,12,2
BugBusters,0,1,3,0,0,0,0,1,1,7,0,0,0,13,3
NP-Drada,0,0,1,0,1,3,0,1,1,0,0,0,0,7,3
80km,0,0,2,0,0,2,0,1,4,0,0,0,0,9,1
Se,0,2,1,0,1,3,1,1,1,1,0,0,0,11,9
That,0,2,1,0,5,0,0,1,9,0,0,1,0,19,2
Só,0,0,1,0,1,0,0,1,0,0,0,0,0,3,2
Ahozinho,0,0,1,4,3,3,2,1,1,1,0,0,0,16,7
Array,0,0,1,0,2,0,0,1,0,4,0,0,0,8,2
stormtroop3rs,0,1,2,0,1,4,0,1,2,0,0,0,0,11,5
Traveling,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2
Gemidão,0,0,2,0,0,3,0,1,2,2,0,0,0,10,2
dog,0,1,1,3,2,2,1,1,2,4,0,0,0,17,9
TLEfobia,0,0,2,0,0,0,0,1,1,0,0,0,0,4,2
bit,0,0,2,0,0,0,0,1,0,1,0,0,0,4,2
Nuclear,0,2,1,0,1,0,1,1,1,2,0,0,0,9,6
