0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Country User/Site,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,Total
1,teambrbr44/BRA,"[USP] ¯\\\\_( ""/ )_/¯",,1/124,1/20,2/236,2/36,2/95,1/107,1/8,1/88,1/40,,1/195,5/290,11 (1379)
1,teambrbr44/BRA,"[USP] ¯\\\\_( ""/ )_/¯",,1/124,1/20,2/236,2/36,2/95,1/107,1/8,1/88,1/40,,1/195,5/290,11 (1379)
2,team10/ARG,[UNC-FAMAF] Gracias Demetrio,,1/95,1/17,5/242,1/22,2/46,2/130,1/6,1/83,1/57,,4/291,3/190,11 (1399)
1,team10/ARG,[UNC-FAMAF] Gracias Demetrio,,1/95,1/17,5/242,1/22,2/46,2/130,1/6,1/83,1/57,,4/291,3/190,11 (1399)
1,team10/ARG,[UNC-FAMAF] Gracias Demetrio,,1/95,1/17,5/242,1/22,2/46,2/130,1/6,1/83,1/57,,4/291,3/190,11 (1399)
3,teambrbr55/BRA,[USP-São Carlos] Trei Linha,,1/262,1/37,4/230,1/10,1/85,1/138,1/14,3/75,1/109,,,6/-,9 (1060)
2,teambrbr55/BRA,[USP-São Carlos] Trei Linha,,1/262,1/37,4/230,1/10,1/85,1/138,1/14,3/75,1/109,,,6/-,9 (1060)
4,teambrbr12/BRA,[UFPE] ALT,,1/149,1/13,2/260,1/33,2/98,3/200,1/12,3/140,2/69,,,5/-,9 (1114)
3,teambrbr12/BRA,[UFPE] ALT,,1/149,1/13,2/260,1/33,2/98,3/200,1/12,3/140,2/69,,,5/-,9 (1114)
5,teambrbr69/BRA,[USP] dog hits dog,,1/174,1/22,3/194,2/44,2/94,1/275,1/6,2/173,4/141,,,,9 (1283)
4,teambrbr69/BRA,[USP] dog hits dog,,1/174,1/22,3/194,2/44,2/94,1/275,1/6,2/173,4/141,,,,9 (1283)
6,teambrbr3/BRA,[UFCG] Choose difficulty: TITAN,,4/-,1/21,3/297,1/40,1/58,1/249,1/7,1/81,1/109,,,,8 (902)
5,teambrbr3/BRA,[UFCG] Choose difficulty: TITAN,,4/-,1/21,3/297,1/40,1/58,1/249,1/7,1/81,1/109,,,,8 (902)
7,teambrbr48/BRA,[UFRN] Ginga com Tapioca,3/297,2/270,1/14,,1/29,2/53,1/-,1/9,1/79,1/92,,,,8 (923)
6,teambrbr48/BRA,[UFRN] Ginga com Tapioca,3/297,2/270,1/14,,1/29,2/53,1/-,1/9,1/79,1/92,,,,8 (923)
8,team39/DOM,[PUCMM] Firefox,,1/236,1/35,,1/69,2/124,1/190,1/4,3/86,2/141,1/-,,,8 (965)
1,team39/DOM,[PUCMM] Firefox,,1/236,1/35,,1/69,2/124,1/190,1/4,3/86,2/141,1/-,,,8 (965)
1,team39/DOM,[PUCMM] Firefox,,1/236,1/35,,1/69,2/124,1/190,1/4,3/86,2/141,1/-,,,8 (965)
9,team95/CUB,[UPR] sUrPRise,,1/275,1/26,,1/44,1/94,1/136,1/14,4/196,1/160,,,,8 (1005)
2,team95/CUB,[UPR] sUrPRise,,1/275,1/26,,1/44,1/94,1/136,1/14,4/196,1/160,,,,8 (1005)
1,team95/CUB,[UPR] sUrPRise,,1/275,1/26,,1/44,1/94,1/136,1/14,4/196,1/160,,,,8 (1005)
10,teambrbr61/BRA,[UFCG] Se juntas causa imagina juntas,,1/289,1/36,,1/25,3/110,1/254,1/5,1/61,1/192,,,,8 (1012)
7,teambrbr61/BRA,[UFCG] Se juntas causa imagina juntas,,1/289,1/36,,1/25,3/110,1/254,1/5,1/61,1/192,,,,8 (1012)
11,teambrbr29/BRA,[UFRJ] Esse é meu time,,1/47,1/20,,2/90,2/184,1/272,1/5,1/153,1/216,,,1/-,8 (1027)
8,teambrbr29/BRA,[UFRJ] Esse é meu time,,1/47,1/20,,2/90,2/184,1/272,1/5,1/153,1/216,,,1/-,8 (1027)
12,team114/PER,"[PUCP-FCI] O(1), O(n), O(u(n))",,1/86,1/39,5/-,1/62,2/182,1/202,1/4,7/267,1/69,,,,8 (1051)
2,team114/PER,"[PUCP-FCI] O(1), O(n), O(u(n))",,1/86,1/39,5/-,1/62,2/182,1/202,1/4,7/267,1/69,,,,8 (1051)
1,team114/PER,"[PUCP-FCI] O(1), O(n), O(u(n))",,1/86,1/39,5/-,1/62,2/182,1/202,1/4,7/267,1/69,,,,8 (1051)
13,teambrbr13/BRA,[IME] Lorem Ipsum,,1/190,4/51,,2/82,4/177,1/209,1/9,3/159,2/145,,,1/-,8 (1222)
9,teambrbr13/BRA,[IME] Lorem Ipsum,,1/190,4/51,,2/82,4/177,1/209,1/9,3/159,2/145,,,1/-,8 (1222)
14,teambrbr56/BRA,[ITA] CalopsITA,,1/249,4/99,,2/82,4/225,3/-,1/4,3/176,1/148,,,4/258,8 (1481)
10,teambrbr56/BRA,[ITA] CalopsITA,,1/249,4/99,,2/82,4/225,3/-,1/4,3/176,1/148,,,4/258,8 (1481)
15,teambrbr41/BRA,[UNIOESTE-Cascavel] Ops! Solução Trivial,,2/269,1/19,,1/48,1/130,1/-,1/3,2/91,1/157,,,,7 (757)
11,teambrbr41/BRA,[UNIOESTE-Cascavel] Ops! Solução Trivial,,2/269,1/19,,1/48,1/130,1/-,1/3,2/91,1/157,,,,7 (757)
16,team20/CUB,[UO-SAM] Netscape,,1/-,1/44,,1/104,2/28,2/188,1/8,1/70,1/-,,,2/258,7 (760)
